timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
148736692,148736451,-0.026829418,-0.102795236,0.027253259,0.57554483,0.0,0.0,0.0,-1.0
148834794,148834549,-0.07000499,-0.1034714,0.007192653,0.5851826,0.0,0.0,0.0,-1.0
148936751,148936504,0.027208682,-0.11119304,0.009584724,0.5962915,0.0,0.0,0.0,-1.0
149034651,149034407,-0.05835984,0.02240169,0.011726484,0.5938333,0.0,0.0,0.0,-1.0
149136488,149136224,-0.024340302,-0.056773808,0.00898241,0.5782584,0.0,0.0,0.0,-1.0
149234534,149234286,-0.061842036,-0.048477292,0.0057474263,0.57119364,0.0,0.0,0.0,-1.0
149335099,149334848,-0.028470026,0.002375018,-0.0029662522,0.57513773,0.0,0.0,0.0,-1.0
149436891,149436652,-0.026103817,-0.104620725,0.0021576555,0.5752284,0.0,0.0,0.0,-1.0
149534981,149534736,0.005718979,-0.071840644,0.03016796,0.5767427,0.0,0.0,0.0,-1.0
149636773,149636526,-0.009065897,-0.1325936,0.03369885,0.5789475,0.0,0.0,0.0,-1.0
149735034,149734790,-0.017426549,-0.07685025,0.001621942,0.57896376,0.0,0.0,0.0,-1.0
149836651,149836404,-0.033659115,-0.12971337,-0.01141853,0.56928426,0.0,0.0,0.0,-1.0
149934737,149934482,-0.056832884,-0.078928985,-0.012024343,0.5704706,0.0,0.0,0.0,-1.0
150035290,150035042,-0.047029383,-0.09946137,-0.0049975333,0.57764083,0.0,0.0,0.0,-1.0
150137089,150136844,-0.02781289,-0.014000301,-0.0098040225,0.577468,0.0,0.0,0.0,-1.0
150235232,150234983,-0.035564538,-0.05529081,0.0020014949,0.56710917,0.0,0.0,0.0,-1.0
150336972,150336722,-0.04351309,-0.09816505,0.0065489826,0.56683105,0.0,0.0,0.0,-1.0
150435044,150434799,-0.015868463,-0.07474429,5.2908275e-05,0.57245755,0.0,0.0,0.0,-1.0
150535719,150535465,-0.043121368,-0.03142238,-0.008112564,0.5744558,0.0,0.0,0.0,-1.0
150637405,150637161,-0.01831168,-0.07993228,0.0032884723,0.57023174,0.0,0.0,0.0,-1.0
150735485,150735238,-0.025545828,-0.042096063,-0.0028464613,0.5705736,0.0,0.0,0.0,-1.0
150837298,150837054,-0.012728421,-0.052932408,0.001004344,0.5709884,0.0,0.0,0.0,-1.0
150935358,150935116,0.012112652,-0.1496095,-0.00018256747,0.57156205,0.0,0.0,0.0,-1.0
151038405,151038155,-0.077006616,-0.08289666,-0.0053131944,0.57671714,0.0,0.0,0.0,-1.0
151135252,151134995,-0.033380877,-0.06942369,-0.0116510885,0.58523434,0.0,0.0,0.0,-1.0
151235801,151235555,-0.039833985,-0.021341968,-0.003506518,0.5801126,0.0,0.0,0.0,-1.0
151337670,151337428,0.013937997,-0.10229198,0.005603048,0.5725032,0.0,0.0,0.0,-1.0
151435686,151435435,-0.019793756,-0.054846287,0.008260054,0.5720296,0.0,0.0,0.0,-1.0
151537506,151537265,-0.021594899,-0.17963108,0.0035913198,0.57426447,0.0,0.0,0.0,-1.0
151635554,151635312,0.01625501,-0.045402125,-0.003367265,0.5766114,0.0,0.0,0.0,-1.0
151736148,151735907,-0.032742903,-0.13616423,0.010245245,0.5765504,0.0,0.0,0.0,-1.0
151834202,151833951,-0.045993812,-0.09537667,0.004715072,0.58342916,0.0,0.0,0.0,-1.0
151936005,151935751,-0.06383307,-0.08179752,0.0041613593,0.59325236,0.0,0.0,0.0,-1.0
152037798,152037552,-0.044147417,-0.027680041,0.0073290993,0.57659125,0.0,0.0,0.0,-1.0
152135957,152135702,0.027632095,-0.0895748,0.004818818,0.5677169,0.0,0.0,0.0,-1.0
152237673,152237431,-0.019864077,-0.09326296,0.0096263895,0.5676535,0.0,0.0,0.0,-1.0
152335805,152335559,0.018119242,-0.10106805,7.285569e-05,0.5687563,0.0,0.0,0.0,-1.0
152436505,152436260,-0.0035583046,-0.045553558,0.0037478965,0.56575537,0.0,0.0,0.0,-1.0
152534393,152534149,-0.03142362,-0.10797215,-0.0022045884,0.5660168,0.0,0.0,0.0,-1.0
152636201,152635947,0.0067250193,0.003162736,-0.01737644,0.5656997,0.0,0.0,0.0,-1.0
152737995,152737748,-0.028685,-0.07783908,-0.007221514,0.5647231,0.0,0.0,0.0,-1.0
152836070,152835825,-0.02888182,-0.019884767,0.0017407403,0.56275886,0.0,0.0,0.0,-1.0
152936717,152936475,-0.0012910805,-0.08386996,0.0062703043,0.5650038,0.0,0.0,0.0,-1.0
153034708,153034463,0.007033924,-0.053974856,0.0009593152,0.57495534,0.0,0.0,0.0,-1.0
153136507,153136265,0.0071930685,-0.08262406,0.0062605315,0.5843615,0.0,0.0,0.0,-1.0
153234782,153234538,0.022587111,-0.106226765,-0.0012860325,0.6015939,0.0,0.0,0.0,-1.0
153336395,153336145,0.07163227,-0.21157347,-0.004302116,0.59586895,0.0,0.0,0.0,-1.0
153438195,153437945,-0.06602918,-0.04186705,-0.019669646,0.58171004,0.0,0.0,0.0,-1.0
153536284,153536023,0.015532809,-0.126811,-0.022644594,0.57580405,0.0,0.0,0.0,-1.0
153636823,153636582,-0.014016569,-0.054255303,-0.023857694,0.5746024,0.0,0.0,0.0,-1.0
153734938,153734684,-0.005368294,-0.0760098,-0.023145039,0.57583714,0.0,0.0,0.0,-1.0
153836759,153836515,0.038769457,-0.12837188,-0.026683193,0.58012414,0.0,0.0,0.0,-1.0
153934781,153934537,-0.05544675,-0.045050308,-0.021739123,0.5801235,0.0,0.0,0.0,-1.0
154036702,154036455,-0.00654493,-0.075023115,-0.016036429,0.5781149,0.0,0.0,0.0,-1.0
154134665,154134418,-0.011068522,-0.060873006,-0.01725317,0.5783562,0.0,0.0,0.0,-1.0
154235231,154234978,-0.019988826,-0.056708436,-0.019994305,0.5772384,0.0,0.0,0.0,-1.0
154337022,154336778,-0.039213166,-0.027532706,-0.017057689,0.5761578,0.0,0.0,0.0,-1.0
154435104,154434858,-0.007755787,-0.06638136,-0.020085603,0.5762521,0.0,0.0,0.0,-1.0
154536901,154536654,-0.053132568,-0.03845883,-0.018256014,0.57502735,0.0,0.0,0.0,-1.0
154634989,154634738,-0.025852796,-0.045596555,-0.018047383,0.5739843,0.0,0.0,0.0,-1.0
154736791,154736536,-0.012724679,-0.03712867,-0.022879917,0.57346404,0.0,0.0,0.0,-1.0
154837439,154837184,-0.029384395,-0.016791271,-0.01736146,0.57389265,0.0,0.0,0.0,-1.0
154935424,154935172,-0.02377693,-0.029974595,-0.014846739,0.5736039,0.0,0.0,0.0,-1.0
155037221,155036974,-0.03852744,-0.04430233,-0.015346847,0.574406,0.0,0.0,0.0,-1.0
155135296,155135051,-0.0006803607,-0.055391196,-0.0122214565,0.5740276,0.0,0.0,0.0,-1.0
155237106,155236854,-0.008613713,-0.0735286,-0.017684767,0.5758942,0.0,0.0,0.0,-1.0
155335185,155334930,-0.01889577,-0.037690792,-0.013036215,0.57487905,0.0,0.0,0.0,-1.0
155435734,155435490,-0.007251171,-0.025165308,-0.012374542,0.5747374,0.0,0.0,0.0,-1.0
155537544,155537299,-0.00813419,-0.042485952,-0.009761104,0.5738588,0.0,0.0,0.0,-1.0
155635699,155635452,-0.005439634,-0.055056557,-0.0039465986,0.5742142,0.0,0.0,0.0,-1.0
155737423,155737170,-0.04072528,-0.07465463,0.0035529525,0.5726549,0.0,0.0,0.0,-1.0
155835495,155835248,-0.038200304,-0.034300603,-0.0027229753,0.5759843,0.0,0.0,0.0,-1.0
155937307,155937054,-0.041860737,-0.06731137,-0.0030392976,0.584754,0.0,0.0,0.0,-1.0
156034140,156033890,-0.030774081,0.0016280118,0.00027845256,0.5915186,0.0,0.0,0.0,-1.0
156135934,156135686,-0.036658525,-0.0012016424,0.006283258,0.57947487,0.0,0.0,0.0,-1.0
156237741,156237489,-0.022771802,0.0031916862,0.007453192,0.56916,0.0,0.0,0.0,-1.0
156337060,156336809,0.0054527917,-0.07202762,0.0002319012,0.563384,0.0,0.0,0.0,-1.0
156437639,156437394,-0.03012079,-0.088391766,-0.00083659776,0.5741348,0.0,0.0,0.0,-1.0
156535752,156535496,-0.058215465,-0.0029895962,-0.011005969,0.5725634,0.0,0.0,0.0,-1.0
156636252,156636006,-0.026799457,-0.060459178,-0.011421605,0.5694353,0.0,0.0,0.0,-1.0
156734488,156734238,-0.06234317,-0.054691292,-0.015129879,0.5704667,0.0,0.0,0.0,-1.0
156836125,156835882,-0.029056001,-0.13452329,-0.018501895,0.5722424,0.0,0.0,0.0,-1.0
156937935,156937686,-0.009452314,-0.09937832,-0.030186305,0.5734695,0.0,0.0,0.0,-1.0
157036015,157035761,-0.022909258,-0.040191423,-0.03651934,0.574501,0.0,0.0,0.0,-1.0
157137823,157137563,0.0073175468,-0.06333888,-0.03625735,0.57385373,0.0,0.0,0.0,-1.0
157234644,157234398,-0.08351086,0.00039058522,-0.037401676,0.5742224,0.0,0.0,0.0,-1.0
157336451,157336203,-0.029006334,-0.035631873,-0.025044156,0.57436436,0.0,0.0,0.0,-1.0
157434522,157434277,-0.023876132,-0.06322932,-0.020252196,0.5847042,0.0,0.0,0.0,-1.0
157536466,157536220,-0.015876474,-0.13976659,-0.0329957,0.5789397,0.0,0.0,0.0,-1.0
157634398,157634155,-0.02233822,-0.07443689,-0.037298407,0.57416975,0.0,0.0,0.0,-1.0
157736212,157735957,-0.061511938,-0.040721636,-0.036816165,0.6231657,0.0,0.0,0.0,-1.0
157836761,157836517,0.0107632065,-0.06951152,-0.0393189,0.6463529,0.0,0.0,0.0,-1.0
157934843,157934595,-0.05733411,-0.024691606,-0.028851891,0.59924793,0.0,0.0,0.0,-1.0
158036641,158036398,0.030717408,-0.08823384,-0.027211022,0.64645433,0.0,0.0,0.0,-1.0
158134730,158134474,-0.047255266,-0.04775717,-0.01922233,0.63148326,0.0,0.0,0.0,-1.0
158236523,158236274,0.0033647346,-0.03734021,-0.02078209,0.5791635,0.0,0.0,0.0,-1.0
158337212,158336956,-0.033772632,-0.06500807,-0.022325419,0.5641579,0.0,0.0,0.0,-1.0
158435155,158434913,-0.016310327,-0.024651218,-0.018225087,0.5675553,0.0,0.0,0.0,-1.0
158536966,158536713,-0.023960808,-0.050167415,-0.020773452,0.57398415,0.0,0.0,0.0,-1.0
158635041,158634794,-0.026410572,-0.066863805,-0.015087876,0.5763149,0.0,0.0,0.0,-1.0
158736841,158736592,0.008766097,-0.04684044,-0.014830964,0.57859045,0.0,0.0,0.0,-1.0
158834919,158834669,-0.01107332,-0.08650761,-0.012801765,0.6054238,0.0,0.0,0.0,-1.0
158936712,158936471,-0.033308957,-0.050516684,-0.010566646,0.5993565,0.0,0.0,0.0,-1.0
159034797,159034548,-0.0100535955,-0.026555317,-0.005063206,0.5702057,0.0,0.0,0.0,-1.0
159135456,159135216,-0.015959213,-0.060697548,-0.01197075,0.52084595,0.0,0.0,0.0,-1.0
159237157,159236910,-0.009277444,-0.049777344,-0.008286566,0.4605408,0.0,0.0,0.0,-1.0
159335237,159334987,-0.019752227,0.008506729,-0.0063945316,0.44253734,0.0,0.0,0.0,-1.0
159437035,159436788,-0.00039931206,-0.05276711,-0.009386753,0.50735086,0.0,0.0,0.0,-1.0
159535111,159534865,0.030297184,-0.098245904,0.0016524295,0.55730104,0.0,0.0,0.0,-1.0
