timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
144550172,3290.6,26.721,0,11,2378,65536,0,3,122
145551092,3316.85,26.717,0,11,2378,65536,0,3,122
146551883,3343.09,26.7131,0,11,2662,65536,0,3,122
147552874,3369.62,26.7113,0,11,2378,65536,0,3,122
148553985,3396.01,26.7086,0,11,2278,65536,0,3,122
149555220,3415.86,26.6548,0,11,9116,65536,0,3,122
150555890,3449.89,26.7118,0,11,1215,65536,0,3,122
151557319,3474.77,26.6974,0,11,2666,65536,0,3,122
152558066,3501.01,26.6938,0,11,2900,65536,0,3,122
153558988,3528.17,26.6971,0,11,2019,65536,0,3,122
154559880,3553.66,26.6879,0,11,2793,65536,0,3,122
155560937,3579.91,26.6844,0,11,3077,65536,0,3,122
156562829,3606.43,26.6829,0,11,2843,65536,0,3,122
157562966,3632.68,26.6796,0,11,2843,65536,0,3,122
158563914,3658.93,26.6763,0,11,2959,65536,0,3,122
159565050,3685.45,26.675,0,11,2548,65536,0,3,122
160565923,3712.0,26.6739,0,11,2336,65536,0,3,122
161566988,3737.95,26.6685,0,11,2878,65536,0,3,122
162568005,3764.47,26.6673,0,11,2644,65536,0,3,122
163569831,3789.75,26.6572,0,11,3686,65536,0,3,122
164569927,3817.01,26.6614,0,11,2878,65536,0,3,122
165571440,3844.02,26.6635,0,11,2154,65536,0,3,122
166571873,3869.74,26.6569,0,11,2694,65536,0,3,122
167573031,3895.98,26.6539,0,11,2978,65536,0,3,122
168573875,3922.51,26.6529,0,11,2694,65536,0,3,122
169575101,3948.75,26.6499,0,11,2744,65536,0,3,122
170576897,3976.09,26.6542,0,11,1985,65536,0,3,122
171577112,4001.53,26.646,0,11,2814,65536,0,3,122
172577987,4027.84,26.6437,0,11,2864,65536,0,3,122
173578876,4054.14,26.6412,0,11,3048,65536,0,3,122
174579950,4080.61,26.64,0,11,2864,65536,0,3,122
175580941,4106.86,26.6373,0,11,2864,65536,0,3,122
176581924,4133.16,26.6349,0,11,3098,65536,0,3,122
177583204,4160.0,26.636,0,11,2537,65536,0,3,122
178583930,4185.86,26.631,0,11,2931,65536,0,3,122
179584883,4212.16,26.6287,0,11,3165,65536,0,3,122
180585873,4238.63,26.6276,0,11,2931,65536,0,3,122
181587032,4264.88,26.625,0,11,2981,65536,0,3,122
182587898,4292.07,26.6283,0,11,2252,65536,0,3,122
183589050,4317.65,26.6217,0,11,2981,65536,0,3,122
184591806,4343.95,26.6193,0,11,2981,65536,0,3,122
185594506,4370.03,26.6156,0,11,3534,65536,0,3,122
186595397,4396.51,26.6146,0,11,3370,65536,0,3,122
187596466,4424.12,26.6204,0,11,2019,65536,0,3,122
188598519,4449.05,26.61,0,11,3654,65536,0,3,122
189601938,4475.53,26.6086,0,11,3470,65536,0,3,122
190602879,4501.82,26.6066,0,11,3420,65536,0,3,122
191603910,4530.95,26.6213,0,11,754,65536,0,3,122
192604876,4554.44,26.6028,0,11,3579,65536,0,3,122
193606069,4580.73,26.6009,0,11,3579,65536,0,3,122
194607739,4608.0,26.6044,0,11,2802,65536,0,3,122
195607883,4633.46,26.5978,0,11,3612,65536,0,3,122
196609015,4659.75,26.5959,0,11,3612,65536,0,3,122
197610021,4686.05,26.5941,0,11,3796,65536,0,3,122
198610922,4712.4,26.5926,0,11,3571,65536,0,3,122
199611889,4740.03,26.5983,0,11,2152,65536,0,3,122
200612974,4764.94,26.5887,0,11,3805,65536,0,3,122
201614041,4791.42,26.5879,0,11,3621,65536,0,3,122
202614983,4817.67,26.5859,0,11,3621,65536,0,3,122
203616236,4843.96,26.5841,0,11,5312,65536,0,3,122
204617162,4870.5,26.5838,0,11,5078,65536,0,3,122
205618077,4896.8,26.5821,0,11,5312,65536,0,3,122
206618909,4923.05,26.5801,0,11,5185,65536,0,3,122
207620036,4949.52,26.5794,0,11,5001,65536,0,3,122
208621447,4975.82,26.5777,0,11,5235,65536,0,3,122
209621925,4996.24,26.5449,0,11,11202,65536,0,3,122
210623301,4996.24,26.4044,0,11,38129,65536,0,3,122
211623975,5056.0,26.5797,0,11,4045,65536,0,3,122
212624929,5081.08,26.5717,0,11,5285,65536,0,3,122
213625943,5112.4,26.5963,0,11,100,65536,0,3,122
214627009,5133.86,26.5695,0,11,5285,65536,0,3,122
215628777,5160.25,26.5684,0,11,5185,65536,0,3,122
216628881,5188.04,26.5746,0,11,3609,65536,0,3,122
217630037,5217.94,26.5914,0,11,150,65536,0,3,122
218630956,5244.23,26.5898,0,11,100,65536,0,3,122
219631893,5270.48,26.5879,0,11,150,65536,0,3,122
220632902,5296.96,26.5872,0,11,150,65536,0,3,122
