timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
127219396,0,0,88,0,100,55,0
128287382,0,0,74,0,100,64,0
129447314,0,0,66,0,95,58,0
130371270,0,0,61,0,98,62,0
131522303,0,0,59,0,94,59,0
132446312,0,0,57,0,94,46,0
133358909,0,0,57,0,100,40,0
134520495,0,0,57,0,88,55,0
135436316,0,0,57,0,96,59,0
136365303,0,0,57,0,97,53,0
137317316,0,0,57,0,98,45,0
138439376,0,0,57,0,98,48,0
139590745,0,0,57,0,91,51,0
140514483,0,0,57,0,94,47,0
141666311,0,0,57,0,96,55,0
142359556,0,0,57,0,96,54,0
143341709,0,0,57,0,98,52,0
144432318,0,0,57,0,85,52,0
145583924,0,0,57,0,93,56,0
146506630,0,0,57,0,95,54,0
147699309,0,0,57,0,86,45,0
148351309,0,0,57,0,98,52,0
149274317,0,0,57,0,96,50,0
150250429,0,0,57,0,97,45,0
151341564,0,0,57,0,95,84,0
152262911,0,0,57,0,98,56,0
153224318,0,0,57,0,100,65,0
154339646,0,0,57,0,100,67,0
155331412,0,0,57,0,98,74,0
156414314,0,0,57,0,100,60,0
157338755,0,0,57,0,96,79,0
158525550,0,0,57,0,92,42,0
159227326,0,0,57,0,100,28,0
160333314,0,0,57,0,98,49,0
161483927,0,0,57,0,93,35,0
162404827,0,0,57,0,96,44,0
163626313,0,0,57,0,90,44,0
164482506,0,0,57,0,97,43,0
165406941,0,0,57,0,96,43,0
166781309,0,0,57,0,89,42,0
167509378,0,0,57,0,93,62,0
168401311,0,0,57,0,93,67,0
169353902,0,0,57,0,98,59,0
170471282,0,0,57,0,98,57,0
171655311,0,0,57,0,89,56,0
172773303,0,0,57,0,86,51,0
173272313,0,0,57,0,96,28,0
174427748,0,0,57,0,96,28,0
175345363,0,0,57,0,95,32,0
176257318,0,0,57,0,100,30,0
177657368,0,0,57,0,93,29,0
178308635,0,0,57,0,100,35,0
179527313,0,0,57,0,94,43,0
180615630,0,0,57,0,94,49,0
181307306,0,0,57,0,94,47,0
182218315,0,0,57,0,98,42,0
183222309,0,0,57,0,98,50,0
184297309,0,0,57,0,98,51,0
185452313,0,0,57,0,100,45,0
186376290,0,0,57,0,100,42,0
187595320,0,0,57,0,98,44,0
188288357,0,0,57,0,100,63,0
189375533,0,0,57,0,96,52,0
190562309,0,0,57,0,92,47,0
191250478,0,0,57,0,98,50,0
192370682,0,0,57,0,97,55,0
193322317,0,0,57,0,100,61,0
194443947,0,0,57,0,96,59,0
195663311,0,0,57,0,90,62,0
196519303,0,0,57,0,97,46,0
197442311,0,0,62,0,96,54,0
198593311,0,0,68,0,88,68,0
199318303,0,0,70,0,98,47,0
200440451,0,0,73,0,93,52,0
201587316,0,0,74,0,91,53,0
202267449,0,0,74,0,98,67,0
203695350,0,0,74,0,89,72,0
204356341,0,0,74,0,100,63,0
205275313,0,0,74,0,95,67,0
206417803,0,0,74,0,93,47,0
207348374,0,0,74,0,98,49,0
208303314,0,0,74,0,100,34,0
209423615,0,0,74,0,96,48,0
210344729,0,0,74,0,100,41,0
211567303,0,0,74,0,93,40,0
212413309,0,0,64,0,93,47,0
213339309,0,0,50,0,93,38,0
214318316,0,0,43,0,97,60,0
215449311,0,0,39,0,91,53,0
216332313,0,0,37,0,98,55,0
217491161,0,0,44,0,92,67,0
218412019,0,0,55,0,100,67,0
219631477,0,0,62,0,98,90,0
220250403,0,0,64,0,96,66,0
221220348,0,0,66,0,100,75,0
222366454,0,0,68,0,97,61,0
223286347,0,0,68,0,98,74,0
224405315,0,0,78,0,98,69,0
225329509,0,0,84,0,98,34,0
226479869,0,0,87,0,96,55,0
227404303,0,0,89,0,96,45,0
228318523,0,0,90,0,96,44,0
229236320,0,0,90,0,100,51,0
230234341,0,0,90,0,100,39,0
231356314,0,0,90,0,96,48,0
232272303,0,0,90,0,100,64,0
233234316,0,0,90,0,96,68,0
234307532,0,0,90,0,98,40,0
235702311,0,0,90,0,90,55,0
236385614,0,0,90,0,96,50,0
237312464,0,0,90,0,94,63,0
238259313,0,0,90,0,100,39,0
239388317,0,0,90,0,98,57,0
240301360,0,0,90,0,100,59,0
241232328,0,0,90,0,96,41,0
242380874,0,0,90,0,98,46,0
243540819,0,0,90,0,86,59,0
244231313,0,0,90,0,96,49,0
245383406,0,0,90,0,96,43,0
246294450,0,0,90,0,100,29,0
247251315,0,0,90,0,100,44,0
248213309,0,0,90,0,100,43,0
