timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
78546620,-0.282121,0.0601374,0.413624
78736920,-0.27904,0.063123,0.404689
78938193,-0.282121,0.0601374,0.413624
79139288,-0.282121,0.063123,0.416602
79340465,-0.282121,0.063123,0.416602
79541475,-0.27904,0.0661087,0.410645
79742537,-0.27904,0.0661087,0.41958
79943624,-0.275959,0.063123,0.416602
80145005,-0.275959,0.063123,0.416602
80334913,-0.282121,0.063123,0.413624
80536021,-0.27904,0.063123,0.407667
80737044,-0.282121,0.063123,0.413624
80938221,-0.282121,0.063123,0.413624
81140396,-0.282121,0.0601374,0.413624
81341703,-0.282121,0.063123,0.410645
81542867,-0.27904,0.0571518,0.410645
81743925,-0.27904,0.0601374,0.41958
81933930,-0.282121,0.063123,0.413624
82146106,-0.282121,0.063123,0.413624
82336249,-0.282121,0.063123,0.410645
82537291,-0.285203,0.0601374,0.407667
82738391,-0.282121,0.0601374,0.413624
82939556,-0.282121,0.0601374,0.410645
83140599,-0.282121,0.0601374,0.413624
83341826,-0.27904,0.063123,0.410645
83542939,-0.27904,0.0601374,0.407667
83744012,-0.282121,0.0571518,0.404689
83934680,-0.27904,0.063123,0.413624
84147384,-0.27904,0.063123,0.410645
84337452,-0.27904,0.063123,0.413624
84538560,-0.282121,0.063123,0.413624
84739665,-0.282121,0.0601374,0.413624
84940728,-0.282121,0.063123,0.413624
85141764,-0.282121,0.0601374,0.413624
85342962,-0.27904,0.0571518,0.413624
85533027,-0.282121,0.0601374,0.404689
85745286,-0.285203,0.0571518,0.410645
85935243,-0.285203,0.0601374,0.413624
86136284,-0.285203,0.0571518,0.407667
86348585,-0.282121,0.063123,0.41958
86538590,-0.27904,0.0601374,0.407667
86740588,-0.282121,0.0601374,0.413624
86941890,-0.275959,0.0571518,0.416602
87143272,-0.27904,0.0601374,0.422558
87344396,-0.275959,0.0601374,0.413624
87534303,-0.27904,0.0601374,0.413624
87746420,-0.275959,0.063123,0.413624
87936536,-0.275959,0.063123,0.41958
88137646,-0.27904,0.0601374,0.416602
88338698,-0.27904,0.0601374,0.416602
88539859,-0.282121,0.0601374,0.413624
88741138,-0.275959,0.063123,0.410645
88942194,-0.282121,0.0601374,0.413624
89143232,-0.282121,0.0601374,0.416602
89344270,-0.27904,0.0601374,0.413624
89545418,-0.282121,0.063123,0.410645
89736491,-0.282121,0.0601374,0.413624
89937744,-0.282121,0.0601374,0.416602
90138790,-0.27904,0.0601374,0.413624
90339850,-0.282121,0.063123,0.413624
90541214,-0.282121,0.0601374,0.410645
90742294,-0.282121,0.0571518,0.413624
90943347,-0.282121,0.0511806,0.41958
91144482,-0.27904,0.0511806,0.410645
91334496,-0.275959,0.0541662,0.410645
91535439,-0.275959,0.0571518,0.416602
91736859,-0.27904,0.0601374,0.413624
91949093,-0.27904,0.0661087,0.416602
92138945,-0.27904,0.0601374,0.416602
92340130,-0.27904,0.0571518,0.416602
92541925,-0.282121,0.0571518,0.407667
92743387,-0.27904,0.0571518,0.416602
92933543,-0.285203,0.0541662,0.407667
93145888,-0.282121,0.0571518,0.410645
93335808,-0.282121,0.0571518,0.413624
93548123,-0.27904,0.0601374,0.413624
93738127,-0.27904,0.0571518,0.413624
93939268,-0.27904,0.0571518,0.413624
94140208,-0.27904,0.0571518,0.416602
94341454,-0.27904,0.0571518,0.413624
94542523,-0.27904,0.0601374,0.407667
94743607,-0.27904,0.0571518,0.413624
94944923,-0.282121,0.0541662,0.413624
95145944,-0.27904,0.0601374,0.410645
95336656,-0.27904,0.0571518,0.410645
95537943,-0.27904,0.0661087,0.404689
95739249,-0.27904,0.0661087,0.413624
95940232,-0.282121,0.063123,0.410645
96141548,-0.275959,0.0661087,0.410645
96342700,-0.27904,0.0690943,0.413624
96543660,-0.282121,0.0661087,0.404689
96744934,-0.282121,0.0601374,0.413624
96946037,-0.27904,0.0601374,0.416602
97135964,-0.282121,0.0571518,0.416602
97337145,-0.27904,0.0601374,0.407667
97538278,-0.27904,0.0601374,0.410645
97739300,-0.275959,0.0601374,0.413624
97940301,-0.275959,0.0601374,0.407667
98141544,-0.27904,0.0571518,0.413624
98343704,-0.27904,0.0571518,0.413624
98544949,-0.27904,0.0601374,0.407667
98734968,-0.282121,0.0571518,0.413624
98947168,-0.285203,0.0571518,0.413624
99137253,-0.282121,0.0571518,0.410645
99338361,-0.282121,0.0541662,0.413624
99539387,-0.27904,0.0601374,0.410645
99740518,-0.27904,0.0601374,0.413624
99941797,-0.27904,0.0571518,0.416602
100142788,-0.27904,0.0601374,0.410645
100332584,-0.27904,0.0601374,0.413624
100545166,-0.27904,0.0601374,0.413624
100735094,-0.27904,0.0601374,0.410645
100947363,-0.282121,0.0601374,0.407667
101138372,-0.282121,0.0601374,0.410645
101339517,-0.27904,0.0601374,0.413624
101540857,-0.282121,0.0601374,0.413624
101741866,-0.282121,0.0601374,0.413624
101942866,-0.282121,0.0601374,0.410645
102144315,-0.285203,0.0601374,0.410645
102345267,-0.285203,0.0601374,0.410645
102546257,-0.285203,0.0601374,0.404689
102736238,-0.27904,0.063123,0.407667
102937566,-0.285203,0.063123,0.410645
103138587,-0.285203,0.063123,0.401711
103339678,-0.282121,0.063123,0.407667
103540869,-0.282121,0.0601374,0.407667
103741952,-0.282121,0.0571518,0.413624
103944066,-0.285203,0.0601374,0.41958
104145300,-0.285203,0.0571518,0.410645
104335451,-0.282121,0.0601374,0.410645
104547594,-0.285203,0.0601374,0.404689
104737616,-0.282121,0.063123,0.404689
104938830,-0.282121,0.0601374,0.413624
105139853,-0.27904,0.063123,0.410645
105341026,-0.282121,0.0601374,0.410645
105542145,-0.285203,0.0601374,0.404689
105743088,-0.27904,0.0601374,0.422558
105944310,-0.285203,0.0571518,0.416602
106145478,-0.27904,0.0571518,0.416602
106335416,-0.27904,0.0571518,0.413624
106536561,-0.27904,0.0601374,0.410645
106737580,-0.27904,0.0601374,0.413624
106939839,-0.27904,0.0601374,0.407667
107141084,-0.285203,0.063123,0.407667
107342099,-0.27904,0.063123,0.41958
107543404,-0.27904,0.0661087,0.416602
107744515,-0.282121,0.063123,0.407667
107945613,-0.282121,0.063123,0.410645
108135663,-0.27904,0.063123,0.410645
108347842,-0.27904,0.0601374,0.413624
108537836,-0.275959,0.063123,0.413624
108750099,-0.275959,0.0601374,0.416602
108940040,-0.275959,0.0601374,0.41958
109141176,-0.275959,0.0601374,0.41958
109342393,-0.282121,0.0601374,0.413624
109543322,-0.27904,0.0601374,0.413624
109734486,-0.282121,0.0601374,0.413624
109935761,-0.282121,0.0571518,0.413624
110148114,-0.285203,0.0571518,0.410645
110349040,-0.282121,0.0601374,0.413624
110539177,-0.282121,0.0601374,0.410645
110740253,-0.27904,0.063123,0.413624
110941385,-0.282121,0.0601374,0.416602
111142419,-0.27904,0.0601374,0.416602
111343438,-0.27904,0.0661087,0.416602
111544799,-0.282121,0.0601374,0.413624
111745827,-0.282121,0.0601374,0.407667
111946937,-0.282121,0.0601374,0.410645
112136724,-0.285203,0.063123,0.413624
112337954,-0.27904,0.0661087,0.416602
112540220,-0.27904,0.0661087,0.410645
112741288,-0.282121,0.0601374,0.416602
112942605,-0.282121,0.0601374,0.416602
113143608,-0.275959,0.0571518,0.41958
113344837,-0.275959,0.0601374,0.410645
113545904,-0.27904,0.0601374,0.416602
113735929,-0.282121,0.0601374,0.413624
113937093,-0.27904,0.063123,0.413624
114138159,-0.27904,0.0571518,0.413624
114339233,-0.275959,0.0541662,0.41958
114540364,-0.282121,0.0571518,0.413624
114741351,-0.275959,0.0571518,0.413624
114942597,-0.27904,0.0571518,0.422558
115143661,-0.282121,0.0541662,0.413624
115334504,-0.27904,0.0571518,0.416602
115535888,-0.275959,0.0571518,0.413624
115737126,-0.27904,0.0571518,0.413624
115938348,-0.275959,0.0571518,0.416602
116139537,-0.275959,0.0571518,0.413624
116340636,-0.282121,0.0541662,0.422558
116541661,-0.27904,0.0571518,0.416602
116742783,-0.27904,0.0571518,0.413624
116932819,-0.275959,0.0601374,0.413624
117145107,-0.282121,0.0571518,0.416602
117335105,-0.27904,0.0601374,0.416602
117536092,-0.27904,0.0601374,0.413624
117748350,-0.275959,0.0601374,0.413624
117938397,-0.27904,0.0571518,0.413624
118139508,-0.275959,0.0571518,0.416602
118341378,-0.275959,0.0541662,0.413624
118542837,-0.282121,0.0571518,0.413624
118744164,-0.275959,0.0601374,0.416602
118945023,-0.275959,0.0571518,0.410645
119146378,-0.27904,0.0571518,0.413624
119336369,-0.275959,0.0571518,0.41958
119537495,-0.275959,0.0571518,0.416602
119738330,-0.275959,0.0571518,0.416602
119939654,-0.275959,0.0571518,0.41958
120140867,-0.275959,0.0541662,0.416602
120341951,-0.275959,0.0571518,0.41958
120543267,-0.27904,0.0601374,0.413624
120744214,-0.27904,0.0571518,0.407667
120945219,-0.27904,0.0601374,0.413624
121136213,-0.275959,0.0601374,0.416602
121348562,-0.27904,0.0601374,0.41958
121538744,-0.282121,0.0601374,0.407667
121739811,-0.282121,0.0571518,0.416602
121940942,-0.275959,0.0571518,0.416602
122141969,-0.275959,0.0601374,0.416602
122343187,-0.27904,0.0541662,0.416602
122544389,-0.27904,0.0571518,0.413624
122745486,-0.275959,0.0571518,0.413624
122946644,-0.275959,0.0541662,0.41958
123136611,-0.27904,0.0541662,0.416602
123337794,-0.27904,0.0511806,0.407667
123538806,-0.285203,0.0541662,0.410645
123739988,-0.27904,0.0541662,0.410645
123942091,-0.282121,0.0541662,0.407667
124143455,-0.27904,0.0541662,0.413624
124344995,-0.282121,0.0541662,0.407667
124545956,-0.27904,0.0571518,0.407667
124735682,-0.27904,0.0541662,0.416602
124936702,-0.27904,0.0571518,0.413624
125137639,-0.275959,0.0571518,0.413624
125338834,-0.275959,0.0601374,0.41958
125540027,-0.275959,0.0571518,0.410645
125741235,-0.275959,0.0601374,0.416602
125942189,-0.272878,0.0601374,0.413624
126143483,-0.27904,0.0571518,0.410645
126333457,-0.27904,0.0511806,0.416602
126534471,-0.27904,0.0511806,0.410645
126735605,-0.282121,0.0511806,0.407667
126937769,-0.282121,0.0541662,0.413624
127139168,-0.282121,0.0571518,0.407667
127340233,-0.27904,0.0571518,0.413624
127541340,-0.27904,0.0601374,0.410645
127742482,-0.275959,0.0601374,0.413624
127943444,-0.275959,0.0601374,0.413624
128144631,-0.275959,0.0601374,0.41958
128334744,-0.275959,0.0571518,0.41958
128547103,-0.272878,0.0601374,0.41958
128736932,-0.275959,0.0541662,0.410645
128937974,-0.272878,0.0541662,0.41958
129139110,-0.272878,0.0541662,0.416602
129340415,-0.275959,0.0541662,0.413624
129541431,-0.275959,0.0571518,0.410645
129743399,-0.275959,0.0571518,0.413624
129944673,-0.27904,0.0571518,0.413624
130145991,-0.275959,0.0541662,0.422558
130336004,-0.275959,0.0571518,0.416602
130537139,-0.275959,0.0571518,0.416602
130738165,-0.275959,0.0571518,0.413624
130939258,-0.272878,0.0511806,0.413624
131140518,-0.27904,0.0511806,0.413624
131341521,-0.272878,0.0511806,0.410645
131542500,-0.275959,0.048195,0.413624
131743648,-0.275959,0.048195,0.416602
131944969,-0.275959,0.0511806,0.41958
132134687,-0.272878,0.0511806,0.416602
132335983,-0.272878,0.0511806,0.41958
132538219,-0.275959,0.0541662,0.413624
132739532,-0.275959,0.0571518,0.413624
132940560,-0.272878,0.0541662,0.41958
133141617,-0.272878,0.0541662,0.422558
133342992,-0.269797,0.0511806,0.41958
133544011,-0.272878,0.0571518,0.413624
133733918,-0.269797,0.0541662,0.41958
133946114,-0.269797,0.0541662,0.416602
134136141,-0.272878,0.0511806,0.416602
134337402,-0.269797,0.0511806,0.422558
134538517,-0.272878,0.048195,0.410645
134739578,-0.272878,0.048195,0.422558
134940745,-0.272878,0.048195,0.416602
135141807,-0.272878,0.0511806,0.41958
135342970,-0.269797,0.048195,0.413624
135545250,-0.272878,0.048195,0.413624
135735146,-0.269797,0.0511806,0.413624
135947520,-0.269797,0.0511806,0.425536
136137457,-0.269797,0.0511806,0.41958
136338641,-0.272878,0.0511806,0.41958
136539689,-0.275959,0.0511806,0.413624
136740795,-0.275959,0.0511806,0.41958
136941843,-0.27904,0.048195,0.413624
137143145,-0.275959,0.0452093,0.422558
137333034,-0.275959,0.0511806,0.413624
137545327,-0.275959,0.048195,0.413624
137735478,-0.275959,0.0541662,0.413624
137936420,-0.27904,0.0571518,0.413624
138137538,-0.275959,0.0571518,0.416602
138339705,-0.275959,0.0571518,0.416602
138541041,-0.272878,0.0571518,0.41958
138742044,-0.275959,0.0571518,0.41958
138943264,-0.272878,0.0511806,0.416602
139144286,-0.275959,0.048195,0.410645
139334331,-0.272878,0.0511806,0.413624
139546591,-0.275959,0.0541662,0.407667
139736570,-0.272878,0.0511806,0.41958
139937573,-0.27904,0.0541662,0.410645
140138709,-0.272878,0.0541662,0.41958
140340007,-0.275959,0.0541662,0.416602
140541120,-0.27904,0.0541662,0.410645
140742026,-0.27904,0.0571518,0.422558
140943308,-0.269797,0.0571518,0.41958
141145151,-0.275959,0.0571518,0.416602
141346561,-0.272878,0.0571518,0.413624
141536560,-0.269797,0.0601374,0.416602
141737785,-0.269797,0.0571518,0.41958
141938970,-0.272878,0.0601374,0.422558
142140167,-0.272878,0.0571518,0.416602
