timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
34251203,-0.034108,-0.0175478,-0.0310753,0.0
34450017,-0.0231562,-0.0248953,-0.0294275,0.0
34649838,-0.0253396,-0.0249421,-0.0286836,0.0
34849749,-0.0277363,-0.0269811,-0.028286,0.0
35052192,-0.028475,-0.027666,-0.0279815,0.0
35252153,-0.030391,-0.0284918,-0.0279084,0.0
35450781,-0.0311119,-0.0284701,-0.0276614,0.0
35650755,-0.0316124,-0.029028,-0.0276934,0.0
35850634,-0.031745,-0.029931,-0.0281452,0.0
36049346,-0.0337381,-0.0286696,-0.0297828,0.0
36249252,-0.0302647,-0.0299199,-0.031212,0.0
36452917,-0.0320146,-0.0333225,-0.0320312,0.0
36651596,-0.0314556,-0.0257479,-0.032026,0.0
36851567,-0.0338647,-0.0286464,-0.0309227,0.0
37051470,-0.032559,-0.0310292,-0.0296674,0.0
37250155,-0.0193702,-0.0321259,-0.0282896,0.0
37450085,-0.0307671,-0.0315056,-0.0267348,0.0
37648774,-0.0348515,-0.0338067,-0.0260342,0.0
37852422,-0.033076,-0.0353897,-0.025189,0.0
38052354,-0.0340013,-0.0343087,-0.0245769,0.0
38251040,-0.0338344,-0.0312114,-0.0247923,0.0
38450996,-0.0342716,-0.0353654,-0.0252068,0.0
38650911,-0.0340137,-0.0372356,-0.0250059,0.0
38849600,-0.0323128,-0.0366869,-0.0239397,0.0
39049516,-0.0304769,-0.0363052,-0.0225019,0.0
39251936,-0.0312768,-0.0355545,-0.0215325,0.0
39451856,-0.0271248,-0.0368749,-0.0211693,0.0
39651792,-0.029821,-0.0363016,-0.0206712,0.0
39850651,-0.0286726,-0.0362918,-0.0202954,0.0
40050416,-0.027852,-0.0412884,-0.0199968,0.0
40250351,-0.0272307,-0.0377239,-0.0198503,0.0
40449026,-0.0277565,-0.0374736,-0.0194916,0.0
40652854,-0.026005,-0.0383695,-0.0185353,0.0
