timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
41086681,4.746,1.717,536,-7944,-8408,-10000,-6352,0,0,0,0,1164,1144,1075,1234,1500,1500,0,0,1499,1501,1094,1459,1504,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
42099917,4.717,1.678,536,-10000,-6312,-10000,-6312,0,0,0,0,1075,1235,1075,1235,1500,1500,0,0,1498,1502,1094,1458,1504,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
43111308,4.732,1.67,536,-6312,-10000,-6312,-10000,0,0,0,0,1235,1075,1235,1075,1500,1500,0,0,1497,1501,1094,1459,1504,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
44125047,4.751,1.668,536,-9836,-6148,-8295,-8789,0,0,0,0,1081,1243,1180,1127,1500,1500,0,0,1497,1501,1094,1458,1505,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
45143828,4.705,1.643,536,-6595,-9593,-10000,-6188,0,0,0,0,1223,1092,1075,1241,1500,1500,0,0,1498,1502,1093,1459,1504,1087,1088,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
46162927,4.713,1.732,536,-9446,-6906,-6352,-10000,0,0,0,0,1098,1209,1234,1075,1500,1500,0,0,1499,1501,1091,1455,1504,1087,1088,1084,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
47176560,4.73,1.626,536,-6376,-9328,-9170,-7750,0,0,0,0,1233,1103,1110,1172,1500,1500,0,0,1499,1501,1094,1458,1505,1086,1088,1086,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
48197836,4.734,1.642,536,-6392,-10000,-6392,-6352,0,0,0,0,1232,1075,1076,1234,1500,1500,0,0,1498,1501,1092,1459,1504,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
49209135,4.725,1.711,536,-528,-10000,-8814,-1990,0,0,0,0,1488,1075,1282,1424,1500,1500,0,0,1499,1501,1247,1467,1505,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
50230008,4.742,1.713,536,-6392,-10000,-6392,-10000,0,0,0,0,1232,1075,1232,1075,1500,1500,0,0,1500,1497,1094,1475,1504,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
51244548,4.725,1.74,536,-7830,-9926,-8494,-6454,0,0,0,0,1169,1077,1140,1229,1500,1500,0,0,1497,1493,1093,1470,1504,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
52263008,4.705,1.729,536,-6352,-10000,-6352,-10000,0,0,0,0,1234,1075,1234,1075,1500,1500,0,0,1500,1503,1093,1470,1504,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
53284496,4.715,1.732,536,-6352,-10000,-6352,-10000,0,0,0,0,1234,1075,1234,1075,1500,1500,0,0,1498,1500,1093,1457,1505,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
54295678,4.751,1.745,536,-10000,-7949,-8163,-6672,0,0,0,0,1075,1164,1154,1220,1500,1500,0,0,1498,1501,1092,1467,1504,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
55306647,4.732,1.645,536,-6352,-10000,-8147,-8205,0,0,0,0,1234,1075,1155,1153,1500,1500,0,0,1498,1500,1094,1467,1504,1087,1088,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
56318546,4.732,1.658,536,-10000,-6352,-10000,-6352,0,0,0,0,1075,1234,1075,1234,1500,1500,0,0,1498,1500,1093,1466,1504,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
57339658,4.722,1.643,536,-10000,-2036,-8383,-3653,0,0,0,0,1075,1422,1145,1352,1500,1500,0,0,1498,1502,1209,1553,1504,1087,1088,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
58358221,4.679,1.718,536,445,-7529,-6630,2594,0,0,0,0,1531,1182,1221,1625,1500,1500,0,0,1523,1468,1358,1485,1504,1087,1088,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
