timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
180971347,180970480,73225,0.291585,0.0564867,0.402061,50.5,0,1
181965024,181964153,73225,0.292796,0.0671365,0.40332,50.75,0,1
182968201,182967335,73225,0.301275,0.0600366,0.400802,50.75,0,1
183970859,183969991,73225,0.312175,0.042287,0.400802,50.5,0,1
184972105,184971235,73225,0.321865,-0.0109621,0.393248,50.75,0,1
185972728,185971858,73225,0.287951,0.019804,0.418427,50.5,0,1
186968152,186967285,73225,0.294007,0.0316372,0.413391,50.5,0,1
187969996,187969132,73225,0.342455,0.0505701,0.37814,50.5,0,1
188964739,188963872,73225,0.314598,0.00915423,0.402061,50.5,0,1
189967806,189966942,73225,0.329132,-0.052378,0.395766,50.5,0,1
190969866,190968992,73225,0.324287,-0.0819608,0.389471,50.5,0,1
191972200,191971331,73225,0.297641,-0.0440948,0.405838,50.5,0,1
