timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
305278612,-0.274954,-0.581627,-0.183387,5006,0,-4.43603,0.0667655,1.78096,5006,0
305283615,1.09858,-1.29769,0.0829786,5003,0,1.90191,-0.993366,-12.1628,5003,0
305288618,0.0381359,0.669874,0.211448,5003,0,3.17101,-0.898506,-25.6501,5003,0
305293623,-1.0564,1.22168,-0.0452573,5005,0,-3.45352,0.9595,-6.24126,5005,0
305298627,-0.0725942,-0.62492,-0.260208,5004,0,-4.39505,-0.16033,4.47234,5004,0
305303632,1.00249,-1.22577,0.0602588,5005,0,2.23473,-0.952169,-12.0033,5005,0
305308642,-0.151703,0.691418,0.273326,5010,0,2.79125,-0.322177,-27.0384,5010,0
305313641,-0.891335,1.1153,-0.0492641,4999,0,-3.53823,1.00097,-6.58849,4999,0
305318645,0.236331,-0.628158,-0.307261,5004,0,-4.18201,-0.414803,4.43145,5004,0
305323650,0.87412,-1.01695,0.00727352,5005,0,1.92968,-0.700701,-12.8975,5005,0
305328654,-0.468625,0.736397,0.33177,5004,0,2.57714,0.632147,-25.6185,5004,0
305333659,-0.59288,0.875546,-0.0181134,5005,0,-2.95968,0.095529,-4.75805,5005,0
305338663,0.482713,-0.658275,-0.35645,5004,0,-3.48821,-1.51098,3.56441,5004,0
305343668,0.542903,-0.783995,-0.0510621,5005,0,2.07502,-0.0234049,-15.3584,5005,0
305348672,-0.653068,0.770495,0.359291,5004,0,2.06911,1.62919,-24.481,5004,0
305353680,-0.145532,0.615345,-0.00190154,5008,0,-3.12071,-0.940177,-2.97931,5008,0
305358681,0.541353,-0.661947,-0.366432,5001,0,-3.15525,-2.67136,1.73155,5001,0
305363686,0.117773,-0.511083,-0.034789,5005,0,1.96954,0.97566,-17.3879,5005,0
305368690,-0.595189,0.701044,0.364688,5004,0,1.60944,1.84217,-22.2302,5004,0
305373695,0.254032,0.362887,-0.0586581,5005,0,-2.9967,-1.4902,-3.01293,5005,0
305378699,0.467896,-0.564253,-0.368326,5004,0,-2.66796,-2.47378,-1.04559,5004,0
305383704,-0.250426,-0.329388,0.0216001,5005,0,1.55748,1.79677,-17.9144,5005,0
305388711,-0.299846,0.516592,0.332105,5007,0,1.52908,1.56655,-17.5498,5007,0
305393713,0.487196,0.259755,-0.100448,5002,0,-2.05959,-1.98973,-2.39935,5002,0
305398717,0.110069,-0.408551,-0.329689,5004,0,-2.27134,-2.11554,-3.44904,5004,0
305403722,-0.467539,-0.318638,0.0739026,5005,0,0.111275,2.60152,-19.5734,5005,0
305408727,0.237721,0.357855,0.300771,5005,0,1.29272,1.19665,-15.511,5005,0
305413731,0.499649,0.322721,-0.118905,5004,0,-0.915512,-3.36277,-2.19248,5004,0
305418736,-0.318166,-0.267122,-0.330479,5005,0,-2.338,-2.13655,-4.50329,5005,0
305423740,-0.386152,-0.47598,0.125335,5004,0,-0.467817,3.79289,-18.7192,5004,0
305428744,0.60407,0.189483,0.285378,5004,0,1.93187,0.66902,-15.2097,5004,0
305433753,0.346114,0.480001,-0.187962,5009,0,-0.85353,-4.37474,-3.73649,5009,0
305438753,-0.581363,-0.173665,-0.357087,5000,0,-3.53109,-0.960453,-4.31779,5000,0
305443758,-0.23679,-0.670538,0.202255,5005,0,0.0123584,4.33858,-15.4939,5005,0
305448763,0.832826,0.163724,0.267165,5005,0,3.00953,-0.844715,-16.5343,5005,0
305453767,0.143142,0.748017,-0.22656,5004,0,-1.87832,-4.54181,-6.79776,5004,0
305458772,-0.817569,-0.193023,-0.29954,5005,0,-4.30664,1.15712,-2.7964,5005,0
305463776,0.0724589,-0.85343,0.236217,5004,0,1.47395,3.7677,-12.0979,5004,0
305468780,0.955706,0.217102,0.173316,5004,0,3.38297,-3.1546,-17.7921,5004,0
305473785,-0.227199,0.935986,-0.274611,5005,0,-3.8572,-3.72658,-9.86234,5005,0
305478790,-0.815043,-0.29558,-0.153133,5005,0,-4.09035,3.75378,-2.377,5005,0
305483801,0.487876,-0.979014,0.267395,5011,0,3.2068,3.01981,-10.1607,5011,0
305488798,0.890467,0.32009,0.0418429,4997,0,2.76828,-5.40536,-18.6149,4997,0
305493803,-0.529301,1.03155,-0.280214,5005,0,-4.93389,-2.19062,-9.04167,5005,0
305498808,-0.73332,-0.482434,-0.0134527,5005,0,-2.81622,5.08145,-1.58658,5005,0
305503812,0.849198,-1.09777,0.271843,5004,0,3.65851,1.58343,-11.6541,5004,0
305508820,0.690992,0.587739,-0.0470772,5008,0,0.718102,-6.21063,-21.7627,5008,0
305513821,-0.731694,1.09577,-0.225023,5001,0,-5.1026,-0.285045,-5.77702,5001,0
305518826,-0.54142,-0.764501,0.0464209,5005,0,-0.997957,4.18421,0.565511,5005,0
305523830,1.09766,-1.15495,0.190891,5004,0,4.03593,-1.16789,-14.0065,5004,0
305528834,0.298627,0.969741,-0.115312,5004,0,-0.818038,-4.70799,-24.8362,5004,0
305533839,-0.787499,1.00811,-0.149091,5005,0,-5.35735,2.2426,-2.08859,5005,0
305538844,-0.207505,-1.09651,0.0532279,5005,0,-0.159325,2.86661,2.28492,5005,0
305543848,1.14135,-0.983833,0.095644,5004,0,3.80425,-4.0475,-18.5303,5004,0
305548852,-0.0619759,1.34269,-0.080353,5004,0,-1.73168,-2.90062,-24.8215,5004,0
305553857,-0.715458,0.731247,-0.0939005,5005,0,-4.99566,3.33208,1.79139,5005,0
305558862,0.0909016,-1.36031,-0.00649701,5005,0,0.893521,2.07649,1.55041,5005,0
305563866,1.02407,-0.645154,-0.000323335,5004,0,3.75579,-4.31797,-23.7713,5004,0
305568870,-0.309869,1.55527,-0.00144823,5004,0,-2.88614,-1.03629,-21.8079,5004,0
305573875,-0.545893,0.344152,-0.0522168,5005,0,-5.02037,2.04201,5.53786,5005,0
305578884,0.407293,-1.44619,-0.0663111,5009,0,1.74267,0.0642603,-0.423599,5009,0
305583884,0.669164,-0.147078,-0.025177,5000,0,3.18533,-3.42087,-29.7968,5000,0
305588888,-0.575336,1.56655,0.10623,5004,0,-3.5232,0.884537,-18.4334,5004,0
305593893,-0.152976,-0.0999141,-0.0372938,5005,0,-4.27389,1.64706,8.48304,5005,0
305598899,0.837523,-1.32051,-0.134148,5006,0,2.41852,-0.542999,-1.61057,5006,0
305603902,0.0959274,0.224829,-0.00710901,5003,0,2.41098,-2.64265,-30.0854,5003,0
305608907,-0.766272,1.28549,0.1277,5005,0,-3.45763,0.280811,-14.1962,5005,0
305613911,0.466162,-0.463021,-0.0462998,5004,0,-2.94163,1.00693,6.97665,5004,0
305618928,0.932965,-1.04921,-0.13633,5017,0,2.2736,0.170526,-7.28529,5017,0
305623924,-0.639405,0.677898,0.0245287,4996,0,0.447893,-1.98334,-29.9799,4996,0
305628925,-0.423339,0.914433,0.0792801,5001,0,-3.24878,-0.457901,-5.8238,5001,0
305633931,0.971155,-0.706762,-0.0473857,5006,0,-1.37226,0.960304,5.66849,5006,0
305638941,0.479911,-0.748294,-0.0450979,5010,0,2.60331,0.605651,-12.8086,5010,0
305643938,-0.869235,0.882906,0.0290019,4997,0,-0.487257,-2.04726,-27.7198,4997,0
305648949,0.120921,0.4836,-0.0132752,5011,0,-2.94077,-0.859696,-2.26115,5011,0
305653947,0.959562,-0.765332,-0.0346135,4998,0,-0.517621,0.650704,1.53845,4998,0
305658961,0.0375939,-0.390012,0.0429433,5014,0,1.70303,0.236778,-17.8357,5014,0
305663956,-0.673018,0.893366,0.0313045,4995,0,-1.64312,-1.27613,-22.0031,4995,0
305668961,0.540834,0.171162,-0.0515169,5005,0,-2.2736,-0.210688,-0.0207598,5005,0
305673965,0.798564,-0.715174,-0.0447597,5004,0,0.852423,0.266292,-2.77645,5004,0
305678970,-0.223431,-0.103096,0.0770028,5005,0,0.821583,-0.367966,-21.8697,5005,0
305683974,-0.306989,0.711919,0.0322279,5004,0,-2.42271,-1.06901,-14.3136,5004,0
305688979,0.703464,-0.0728647,-0.081363,5005,0,-1.45616,-0.122228,1.71452,5005,0
305693983,0.56253,-0.55503,-0.0648453,5004,0,1.5664,0.422835,-7.92481,5004,0
305698989,-0.384527,0.154223,0.0969451,5006,0,-0.130192,-0.620091,-24.0967,5006,0
305703992,0.134722,0.429366,0.0460551,5003,0,-1.95943,-0.659038,-8.18733,5003,0
