timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
64853441,38493,1,1,1,0,0,0,0,0
65362110,38493,1,1,1,0,0,0,0,0
65869348,38493,1,1,1,0,0,0,0,0
66380315,38493,1,1,1,0,0,0,0,0
66889304,38493,1,1,1,0,0,0,0,0
67399315,38493,1,1,1,0,0,0,0,0
67907402,38493,1,1,1,0,0,0,0,0
68417391,38493,1,1,1,0,0,0,0,0
68925380,38493,1,1,1,0,0,0,0,0
69435819,38493,1,1,1,0,0,0,0,0
69943306,38493,1,1,1,0,0,0,0,0
70451337,38493,1,1,1,0,0,0,0,0
70951343,38493,1,1,1,0,0,0,0,0
71458309,38493,1,1,1,0,0,0,0,0
71968307,38493,1,1,1,0,0,0,0,0
72475356,38493,1,1,1,0,0,0,0,0
72976306,38493,1,1,1,0,0,0,0,0
73485638,38493,1,1,1,0,0,0,0,0
73993795,38493,1,1,1,0,0,0,0,0
74501058,38493,1,1,1,0,0,0,0,0
75008360,38493,1,1,1,0,0,0,0,0
75518308,38493,1,1,1,0,0,0,0,0
76025729,38493,1,1,1,0,0,0,0,0
76535310,38493,1,1,1,0,0,0,0,0
77044305,38493,1,1,1,0,0,0,0,0
77554308,38493,1,1,1,0,0,0,0,0
78060303,38493,1,1,1,0,0,0,0,0
78560349,38493,1,1,1,0,0,0,0,0
79070571,38493,1,1,1,0,0,0,0,0
79571357,38493,1,1,1,0,0,0,0,0
80081324,38493,1,1,1,0,0,0,0,0
80586991,38493,1,1,1,0,0,0,0,0
81088446,38493,1,1,1,0,0,0,0,0
81589308,38493,1,1,1,0,0,0,0,0
82094576,38493,1,1,1,0,0,0,0,0
82600349,38493,1,1,1,0,0,0,0,0
83103351,38493,1,1,1,0,0,0,0,0
83609601,38493,1,1,1,0,0,0,0,0
84113308,38493,1,1,1,0,0,0,0,0
84617401,38493,1,1,1,0,0,0,0,0
85123465,38493,1,1,1,0,0,0,0,0
85632337,38493,1,1,1,0,0,0,0,0
86141755,38493,1,1,1,0,0,0,0,0
86651522,38493,1,1,1,0,0,0,0,0
87158308,38493,1,1,1,0,0,0,0,0
87669308,38493,1,1,1,0,0,0,0,0
88173355,38493,1,1,1,0,0,0,0,0
88677395,38493,1,1,1,0,0,0,0,0
89184683,38493,1,1,1,0,0,0,0,0
89686309,38493,1,1,1,0,0,0,0,0
90188307,38493,1,1,1,0,0,0,0,0
90695575,38493,1,1,1,0,0,0,0,0
91206360,38493,1,1,1,0,0,0,0,0
91706507,38493,1,1,1,0,0,0,0,0
92217399,38493,1,1,1,0,0,0,0,0
92725661,38493,1,1,1,0,0,0,0,0
93234365,38493,1,1,1,0,0,0,0,0
93744307,38493,1,1,1,0,0,0,0,0
94251597,38493,1,1,1,0,0,0,0,0
94752338,38493,1,1,1,0,0,0,0,0
95260308,38493,1,1,1,0,0,0,0,0
95770307,38493,1,1,1,0,0,0,0,0
96273483,38493,1,1,1,0,0,0,0,0
96775304,38493,1,1,1,0,0,0,0,0
97278358,38493,1,1,1,0,0,0,0,0
97782307,38493,1,1,1,0,0,0,0,0
98285550,38493,1,1,1,0,0,0,0,0
98788338,38493,1,1,1,0,0,0,0,0
99294303,38493,1,1,1,0,0,0,0,0
99802070,38493,1,1,1,0,0,0,0,0
100314001,38493,1,1,1,0,0,0,0,0
100821402,38493,1,1,1,0,0,0,0,0
101329303,38493,1,1,1,0,0,0,0,0
101837397,38493,1,1,1,0,0,0,0,0
102347508,38493,1,1,1,0,0,0,0,0
102856479,38493,1,1,1,0,0,0,0,0
103365220,38493,1,1,1,0,0,0,0,0
103873305,38493,1,1,1,0,0,0,0,0
104382699,38493,1,1,1,0,0,0,0,0
104891307,38493,1,1,1,0,0,0,0,0
105398601,38493,1,1,1,0,0,0,0,0
105909123,38493,1,1,1,0,0,0,0,0
106416308,38493,1,1,1,0,0,0,0,0
106925307,38493,1,1,1,0,0,0,0,0
107426306,38493,1,1,1,0,0,0,0,0
107935350,38493,1,1,1,0,0,0,0,0
108445413,38493,1,1,1,0,0,0,0,0
108954351,38493,1,1,1,0,0,0,0,0
109455306,38493,1,1,1,0,0,0,0,0
109963306,38493,1,1,1,0,0,0,0,0
110472438,38493,1,1,1,0,0,0,0,0
110980311,38493,1,1,1,0,0,0,0,0
111490408,38493,1,1,1,0,0,0,0,0
112000376,38493,1,1,1,0,0,0,0,0
112506350,38493,1,1,1,0,0,0,0,0
113006482,38493,1,1,1,0,0,0,0,0
113516308,38493,1,1,1,0,0,0,0,0
114016337,38493,1,1,1,0,0,0,0,0
114516510,38493,1,1,1,0,0,0,0,0
115026310,38493,1,1,1,0,0,0,0,0
115534306,38493,1,1,1,0,0,0,0,0
116042314,38493,1,1,1,0,0,0,0,0
116552390,38493,1,1,1,0,0,0,0,0
117062348,38493,1,1,1,0,0,0,0,0
117569418,38493,1,1,1,0,0,0,0,0
118073307,38493,1,1,1,0,0,0,0,0
118576307,38493,1,1,1,0,0,0,0,0
119083357,38493,1,1,1,0,0,0,0,0
119585307,38493,1,1,1,0,0,0,0,0
120088353,38493,1,1,1,0,0,0,0,0
120597486,38493,1,1,1,0,0,0,0,0
121108362,38493,1,1,1,0,0,0,0,0
121615367,38493,1,1,1,0,0,0,0,0
122117390,38493,1,1,1,0,0,0,0,0
122623515,38493,1,1,1,0,0,0,0,0
123125360,38493,1,1,1,0,0,0,0,0
123629362,38493,1,1,1,0,0,0,0,0
124130307,38493,1,1,1,0,0,0,0,0
124640543,38493,1,1,1,0,0,0,0,0
125148412,38493,1,1,1,0,0,0,0,0
125651373,38493,1,1,1,0,0,0,0,0
126153325,38493,1,1,1,0,0,0,0,0
126655340,38493,1,1,1,0,0,0,0,0
127158349,38493,1,1,1,0,0,0,0,0
127661349,38493,1,1,1,0,0,0,0,0
128164307,38493,1,1,1,0,0,0,0,0
128672435,38493,1,1,1,0,0,0,0,0
129179150,38493,1,1,1,0,0,0,0,0
129681313,38493,1,1,1,0,0,0,0,0
130183309,38493,1,1,1,0,0,0,0,0
130691361,38493,1,1,1,0,0,0,0,0
131193708,38493,1,1,1,0,0,0,0,0
131694320,38493,1,1,1,0,0,0,0,0
132203308,38493,1,1,1,0,0,0,0,0
132706304,38493,1,1,1,0,0,0,0,0
133209308,38493,1,1,1,0,0,0,0,0
133712546,38493,1,1,1,0,0,0,0,0
134214307,38493,1,1,1,0,0,0,0,0
134717397,38493,1,1,1,0,0,0,0,0
135220305,38493,1,1,1,0,0,0,0,0
135724716,38493,1,1,1,0,0,0,0,0
136228306,38493,1,1,1,0,0,0,0,0
136731357,38493,1,1,1,0,0,0,0,0
137236233,38493,1,1,1,0,0,0,0,0
137739357,38493,1,1,1,0,0,0,0,0
138249721,38493,1,1,1,0,0,0,0,0
138758346,38493,1,1,1,0,0,0,0,0
139266322,38493,1,1,1,0,0,0,0,0
139776948,38493,1,1,1,0,0,0,0,0
140284308,38493,1,1,1,0,0,0,0,0
140784352,38493,1,1,1,0,0,0,0,0
141294562,38493,1,1,1,0,0,0,0,0
141802806,38493,1,1,1,0,0,0,0,0
142303370,38493,1,1,1,0,0,0,0,0
142805806,38493,1,1,1,0,0,0,0,0
143308312,38493,1,1,1,0,0,0,0,0
143813472,38493,1,1,1,0,0,0,0,0
144316349,38493,1,1,1,0,0,0,0,0
144819304,38493,1,1,1,0,0,0,0,0
145331809,38493,1,1,1,0,0,0,0,0
145838438,38493,1,1,1,0,0,0,0,0
146346627,38493,1,1,1,0,0,0,0,0
146855348,38493,1,1,1,0,0,0,0,0
147363244,38493,1,1,1,0,0,0,0,0
147873861,38493,1,1,1,0,0,0,0,0
148380653,38493,1,1,1,0,0,0,0,0
148890310,38493,1,1,1,0,0,0,0,0
149400307,38493,1,1,1,0,0,0,0,0
149903806,38493,1,1,1,0,0,0,0,0
150410395,38493,1,1,1,0,0,0,0,0
150912366,38493,1,1,1,0,0,0,0,0
151417881,38493,1,1,1,0,0,0,0,0
151920306,38493,1,1,1,0,0,0,0,0
152430426,38493,1,1,1,0,0,0,0,0
152934719,38493,1,1,1,0,0,0,0,0
153436307,38493,1,1,1,0,0,0,0,0
153944367,38493,1,1,1,0,0,0,0,0
154446426,38493,1,1,1,0,0,0,0,0
154951663,38493,1,1,1,0,0,0,0,0
155452340,38493,1,1,1,0,0,0,0,0
155955344,38493,1,1,1,0,0,0,0,0
156455749,38493,1,1,1,0,0,0,0,0
156959693,38493,1,1,1,0,0,0,0,0
157461735,38493,1,1,1,0,0,0,0,0
157963530,38493,1,1,1,0,0,0,0,0
158468361,38493,1,1,1,0,0,0,0,0
158971349,38493,1,1,1,0,0,0,0,0
159478416,38493,1,1,1,0,0,0,0,0
159980597,38493,1,1,1,0,0,0,0,0
160485356,38493,1,1,1,0,0,0,0,0
160993405,38493,1,1,1,0,0,0,0,0
161493488,38493,1,1,1,0,0,0,0,0
162002359,38493,1,1,1,0,0,0,0,0
162509363,38493,1,1,1,0,0,0,0,0
163019311,38493,1,1,1,0,0,0,0,0
163520311,38493,1,1,1,0,0,0,0,0
164024325,38493,1,1,1,0,0,0,0,0
164529443,38493,1,1,1,0,0,0,0,0
165033310,38493,1,1,1,0,0,0,0,0
165535403,38493,1,1,1,0,0,0,0,0
166042349,38493,1,1,1,0,0,0,0,0
166543306,38493,1,1,1,0,0,0,0,0
167043316,38493,1,1,1,0,0,0,0,0
167546309,38493,1,1,1,0,0,0,0,0
168048394,38493,1,1,1,0,0,0,0,0
168549305,38493,1,1,1,0,0,0,0,0
169053346,38493,1,1,1,0,0,0,0,0
169562064,38493,1,1,1,0,0,0,0,0
170070725,38493,1,1,1,0,0,0,0,0
170577515,38493,1,1,1,0,0,0,0,0
171087932,38493,1,1,1,0,0,0,0,0
171595519,38493,1,1,1,0,0,0,0,0
172105185,38493,1,1,1,0,0,0,0,0
172610358,38493,1,1,1,0,0,0,0,0
173112306,38493,1,1,1,0,0,0,0,0
173618342,38493,1,1,1,0,0,0,0,0
174120426,38493,1,1,1,0,0,0,0,0
174624309,38493,1,1,1,0,0,0,0,0
175131493,38493,1,1,1,0,0,0,0,0
175641648,38493,1,1,1,0,0,0,0,0
176152336,38493,1,1,1,0,0,0,0,0
176661306,38493,1,1,1,0,0,0,0,0
177162323,38493,1,1,1,0,0,0,0,0
177670621,38493,1,1,1,0,0,0,0,0
178181314,38493,1,1,1,0,0,0,0,0
178689795,38493,1,1,1,0,0,0,0,0
179198488,38493,1,1,1,0,0,0,0,0
179710655,38493,1,1,1,0,0,0,0,0
180217695,38493,1,1,1,0,0,0,0,0
180727444,38493,1,1,1,0,0,0,0,0
181235425,38493,1,1,1,0,0,0,0,0
181745311,38493,1,1,1,0,0,0,0,0
182253016,38493,1,1,1,0,0,0,0,0
182761497,38493,1,1,1,0,0,0,0,0
183270370,38493,1,1,1,0,0,0,0,0
183781349,38493,1,1,1,0,0,0,0,0
183915384,38493,1,1,1,0,0,0,0,0
183926464,38493,1,1,1,0,0,0,0,0
184436349,38493,1,1,1,0,0,0,0,0
184942358,38493,1,1,1,0,0,0,0,0
185442517,38493,1,1,1,0,0,0,0,0
185950501,38493,1,1,1,0,0,0,0,0
186451348,38493,1,1,1,0,0,0,0,0
186952394,38493,1,1,1,0,0,0,0,0
187460416,38493,1,1,1,0,0,0,0,0
187971306,38493,1,1,1,0,0,0,0,0
188474601,38493,1,1,1,0,0,0,0,0
188980435,38493,1,1,1,0,0,0,0,0
189483314,38493,1,1,1,0,0,0,0,0
189985446,38493,1,1,1,0,0,0,0,0
190491373,38493,1,1,1,0,0,0,0,0
190992310,38493,1,1,1,0,0,0,0,0
191497568,38493,1,1,1,0,0,0,0,0
191998343,38493,1,1,1,0,0,0,0,0
192501413,38493,1,1,1,0,0,0,0,0
193005391,38493,1,1,1,0,0,0,0,0
193507472,38493,1,1,1,0,0,0,0,0
194008375,38493,1,1,1,0,0,0,0,0
194511350,38493,1,1,1,0,0,0,0,0
195017877,38493,1,1,1,0,0,0,0,0
195518407,38493,1,1,1,0,0,0,0,0
196020354,38493,1,1,1,0,0,0,0,0
196523442,38493,1,1,1,0,0,0,0,0
197027508,38493,1,1,1,0,0,0,0,0
197532310,38493,1,1,1,0,0,0,0,0
198034307,38493,1,1,1,0,0,0,0,0
198536626,38493,1,1,1,0,0,0,0,0
199042308,38493,1,1,1,0,0,0,0,0
199551644,38493,1,1,1,0,0,0,0,0
200062350,38493,1,1,1,0,0,0,0,0
200572540,38493,1,1,1,0,0,0,0,0
201074309,38493,1,1,1,0,0,0,0,0
201579133,38493,1,1,1,0,0,0,0,0
202082307,38493,1,1,1,0,0,0,0,0
202585502,38493,1,1,1,0,0,0,0,0
203096434,38493,1,1,1,0,0,0,0,0
203600823,38493,1,1,1,0,0,0,0,0
204103313,38493,1,1,1,0,0,0,0,0
204606357,38493,1,1,1,0,0,0,0,0
205109348,38493,1,1,1,0,0,0,0,0
205614334,38493,1,1,1,0,0,0,0,0
206114394,38493,1,1,1,0,0,0,0,0
206623626,38493,1,1,1,0,0,0,0,0
207134700,38493,1,1,1,0,0,0,0,0
207640652,38493,1,1,1,0,0,0,0,0
208149351,38493,1,1,1,0,0,0,0,0
208656686,38493,1,1,1,0,0,0,0,0
209158479,38493,1,1,1,0,0,0,0,0
209662499,38493,1,1,1,0,0,0,0,0
210163308,38493,1,1,1,0,0,0,0,0
210668584,38493,1,1,1,0,0,0,0,0
211177493,38493,1,1,1,0,0,0,0,0
211679307,38493,1,1,1,0,0,0,0,0
212182523,38493,1,1,1,0,0,0,0,0
212684331,38493,1,1,1,0,0,0,0,0
213192851,38493,1,1,1,0,0,0,0,0
213696350,38493,1,1,1,0,0,0,0,0
214201417,38493,1,1,1,0,0,0,0,0
214710307,38493,1,1,1,0,0,0,0,0
215220676,38493,1,1,1,0,0,0,0,0
215731007,38493,1,1,1,0,0,0,0,0
216236359,38493,1,1,1,0,0,0,0,0
216746433,38493,1,1,1,0,0,0,0,0
217253690,38493,1,1,1,0,0,0,0,0
217762502,38493,1,1,1,0,0,0,0,0
218270355,38493,1,1,1,0,0,0,0,0
218780311,38493,1,1,1,0,0,0,0,0
219280499,38493,1,1,1,0,0,0,0,0
219781321,38493,1,1,1,0,0,0,0,0
220281429,38493,1,1,1,0,0,0,0,0
220791424,38493,1,1,1,0,0,0,0,0
221299564,38493,1,1,1,0,0,0,0,0
221810313,38493,1,1,1,0,0,0,0,0
222313306,38493,1,1,1,0,0,0,0,0
222821307,38493,1,1,1,0,0,0,0,0
