timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
293595300,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
294095406,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
294596342,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
295105397,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
295615299,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
296122403,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
296630301,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
297141320,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
297651580,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
298161342,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
298669297,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
299178297,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
299678303,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
300087339,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
300597222,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
301105299,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
301614300,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
302124300,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
302633353,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
303142299,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
303651298,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
304160302,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
304661301,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
305167607,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
305675680,102298363,304676911,304152591,304676911,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1
