timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
635365349,0.686615,0.00341052,-0.0154619,-0.726849,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635414986,0.687284,0.00141538,-0.013916,-0.726254,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635464607,0.688127,-0.000932395,-0.0122101,-0.725487,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635514268,0.688551,-0.00250025,-0.00919204,-0.725125,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635563928,0.687848,-0.00496001,-0.00643874,-0.725809,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635613588,0.687033,-0.00549139,-0.00075137,-0.726605,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635663390,0.685506,-0.00655058,0.0041921,-0.728025,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635712909,0.683556,-0.00503373,0.00446856,-0.729867,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635762570,0.68109,-0.00197696,0.000711896,-0.732197,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635817205,0.678284,0.000379708,-0.000153899,-0.7348,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635866857,0.675627,-0.000920734,0.00291119,-0.737237,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635911597,0.67277,0.000363446,0.0045017,-0.739838,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
635961212,0.669932,-0.000174559,0.00334461,-0.742415,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636015838,0.666925,-0.0015566,0.00380422,-0.745113,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636065499,0.664088,-0.000520952,0.00372172,-0.747645,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636115167,0.661487,0.000943122,0.00152875,-0.749955,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636164841,0.65925,0.00200761,-0.00141807,-0.75192,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636214533,0.657566,0.0013195,-0.00218975,-0.753392,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636264141,0.656207,-0.00556435,-0.00541406,-0.754541,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636313801,0.655183,-0.0125932,-0.0215031,-0.755059,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636363493,0.65392,-0.0155625,-0.0488843,-0.754822,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636413122,0.652595,-0.0192411,-0.071151,-0.754114,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636462896,0.651032,-0.0262252,-0.0797409,-0.754395,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636517409,0.649411,-0.0294989,-0.0884374,-0.754702,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636567070,0.648188,-0.0303659,-0.0958993,-0.754807,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636611764,0.647733,-0.0287671,-0.10018,-0.754704,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636661449,0.647818,-0.0280568,-0.0959839,-0.755203,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636716083,0.64856,-0.0281267,-0.0714548,-0.75728,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636765712,0.649771,-0.021749,-0.0409744,-0.758713,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636815372,0.650435,-0.0131496,-0.021302,-0.759149,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636865035,0.651386,-0.00910674,-0.0146774,-0.75855,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636914693,0.651982,-0.0080992,-0.0140189,-0.758061,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
636964353,0.652419,-0.0048004,-0.011711,-0.757752,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637014191,0.652685,-0.0029482,-0.0069788,-0.757592,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637063674,0.652852,-0.00146473,-0.00379113,-0.757474,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637113335,0.653235,0.000190182,-0.00356867,-0.757147,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637162996,0.653503,0.00137308,-0.00487649,-0.756907,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637217622,0.653675,0.00344168,-0.00803127,-0.756725,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637262391,0.653959,0.00222295,-0.00668778,-0.756497,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637311977,0.6545,0.000190264,-0.00600306,-0.756038,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637361641,0.655271,-0.00172837,-0.00875914,-0.755341,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637416264,0.656084,0.0016673,-0.0204121,-0.75441,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637465925,0.656369,0.0109468,-0.0417014,-0.753207,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637515584,0.656397,0.0195395,-0.0627154,-0.751551,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637565246,0.656282,0.0262258,-0.0765314,-0.750166,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637614907,0.656503,0.0291237,-0.083115,-0.749165,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637664566,0.656659,0.0310783,-0.087783,-0.748417,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637714244,0.656407,0.0343492,-0.0941336,-0.747723,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637763887,0.656134,0.0370897,-0.0994065,-0.747148,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637813684,0.656146,0.0364986,-0.101548,-0.746879,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637863209,0.656255,0.0353861,-0.101224,-0.746881,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637917848,0.656088,0.0357533,-0.0998201,-0.747199,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
637962530,0.656458,0.0336661,-0.0928388,-0.747871,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
638012194,0.657413,0.0290177,-0.0744253,-0.749285,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
638061897,0.658347,0.0204122,-0.0483848,-0.75088,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
638116477,0.658987,0.0120038,-0.025965,-0.75161,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
