timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
170710185,-2.8819857,0.048380077,-3.12874,-2.850423,-2.5199668,-1.1494397,2.5285122,0.14047779,0.22747149,0.31158572,0.28717142,-0.06996669,0.08813548,0.13205892,0.21194541,0.65204835,0.084483564,0.12989324,0.85687095,0.013234987,6.357486e-13,7.485284e-07
170908882,-2.8602967,0.04831313,-3.1067638,-2.8288605,-2.4987059,-1.1292117,2.550934,-0.1465052,-0.067020886,0.009085387,-0.022193562,-0.3407818,-0.03414339,0.00816533,0.08358583,0.4902367,-0.04198113,0.12961131,0.8571532,0.013234696,6.1550363e-13,7.3711624e-07
171112500,-2.819334,0.048295602,-3.06536,-2.7877855,-2.4575572,-1.0878384,2.5926418,0.15172732,0.22141449,0.2865541,0.24105129,-0.022766039,0.013384461,0.05489129,0.12593462,0.49071854,-0.0024295747,0.13006759,0.8567856,0.013146085,5.947939e-13,7.4200176e-07
171311191,-2.7767072,0.04825168,-3.0225842,-2.7453256,-2.4150815,-1.0463243,2.6354735,-0.17334557,-0.11498899,-0.0630598,-0.13140193,-0.32618442,-0.13948384,-0.09749925,-0.029900983,0.2889709,-0.16729206,0.1296532,0.8571625,0.013183705,5.8879496e-13,7.31169e-07
171509850,-2.7491355,0.048229903,-2.994671,-2.7177572,-2.3876183,-1.0192484,2.6638339,-0.117626555,-0.07091806,-0.03170581,-0.11333432,-0.24602103,0.15976351,0.19985047,0.2612081,0.5283091,0.124445885,0.12974328,0.8571158,0.0131402565,5.696254e-13,7.280947e-07
171718491,-2.7310174,0.04823162,-2.9764023,-2.699617,-2.3694263,-1.0010643,2.6822343,0.07171893,0.107615955,0.13347231,0.021539383,-0.03793472,-0.01051712,0.0320663,0.09242757,0.3193885,-0.061365068,0.12985557,0.85702854,0.013115163,5.628745e-13,7.287256e-07
171912209,-2.7203012,0.048236135,-2.9655948,-2.6888971,-2.3586922,-0.9903939,2.693141,0.02974188,0.048495263,0.05508565,-0.08295904,-0.04522303,-0.0068725348,0.034378022,0.0872267,0.2405441,-0.07164967,0.12989517,0.8570015,0.013102712,5.584278e-13,7.2835803e-07
172110839,-2.7172704,0.048246153,-2.9626255,-2.6859033,-2.3556547,-0.9874771,2.696002,0.22942474,0.22748806,0.20961213,0.026213884,0.19322726,-0.10635788,-0.06341045,-0.015915072,0.054507937,-0.19457014,0.12977564,0.8571002,0.013123475,5.621953e-13,7.266499e-07
172314498,-2.7231536,0.04826148,-2.9685776,-2.691795,-2.3615422,-0.99333954,2.68996,0.25550893,0.24050999,0.20999123,0.030038401,0.25094914,0.042335957,0.07869607,0.114205666,0.118271664,-0.045293085,0.12973115,0.8571328,0.013135366,5.6570634e-13,7.265898e-07
172513199,-2.732006,0.048272833,-2.9773846,-2.7006383,-2.3705149,-1.0023664,2.6813033,-0.04394552,-0.06411434,-0.09853268,-0.26447934,-0.033164617,-0.017838117,0.012896157,0.04027131,0.01255457,-0.09917313,0.1297615,0.85711426,0.013123464,5.6104746e-13,7.2597163e-07
