timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
159502673,3622.584,27.20496,3,12,2977,65536,0,3,122
160503724,3652.0146,27.221336,3,12,1676,65536,0,3,122
161504649,3678.834,27.218176,3,12,2765,65536,0,3,122
162505924,3706.5586,27.221643,3,12,3023,65536,0,3,122
163506678,3734.4414,27.22631,3,12,3257,65536,0,3,122
164507645,3762.6016,27.23288,3,12,3023,65536,0,3,122
165509633,3790.4844,27.237162,3,12,3073,65536,0,3,122
166509642,3818.4502,27.242357,3,12,3222,65536,0,3,122
167510916,3846.4033,27.247149,3,12,3200,65536,0,3,122
168511824,3874.2861,27.251446,3,12,3200,65536,0,3,122
169512786,3904.0,27.268463,3,12,1609,65536,0,3,122
170513720,3930.329,27.261768,3,12,3200,65536,0,3,122
171514838,3958.212,27.26584,3,12,3250,65536,0,3,122
172516630,3986.1436,27.27006,3,12,3554,65536,0,3,122
173516685,4014.255,27.27577,3,12,3193,65536,0,3,122
174517819,4042.1377,27.27965,3,12,3243,65536,0,3,122
175518724,4070.0693,27.28386,3,12,3427,65536,0,3,122
176519643,4084.8086,27.200157,3,12,16936,65536,0,3,122
177520639,4084.8086,27.020056,3,12,45488,65536,0,3,122
178521642,4153.995,27.296965,3,12,3477,65536,0,3,122
179522737,4182.1553,27.302406,3,12,3243,65536,0,3,122
180523933,4209.9893,27.305641,3,12,3293,65536,0,3,122
181524641,4237.921,27.309551,3,12,3527,65536,0,3,122
182525634,4266.081,27.314823,3,12,3243,65536,0,3,122
183526716,4293.964,27.318247,3,12,3293,65536,0,3,122
184529641,4321.8467,27.321312,3,12,3577,65536,0,3,122
185532201,4352.0,27.338663,3,12,1302,65536,0,3,122
186533140,4377.7256,27.328434,3,12,3511,65536,0,3,122
187534252,4405.6084,27.331684,3,12,3795,65536,0,3,122
188535165,4433.7686,27.336637,3,12,3561,65536,0,3,122
189536145,4461.6514,27.33982,3,12,3631,65536,0,3,122
190537201,4489.583,27.34325,3,12,3865,65536,0,3,122
191538143,4517.6943,27.347742,3,12,3631,65536,0,3,122
192539141,4548.0557,27.365713,3,12,1143,65536,0,3,122
193540394,4573.509,27.354067,3,12,3915,65536,0,3,122
194541279,4601.827,27.359655,3,12,3469,65536,0,3,122
195542503,4629.503,27.361326,3,12,3731,65536,0,3,122
196543163,4657.4346,27.364573,3,12,3915,65536,0,3,122
197544210,4685.5947,27.369051,3,12,3513,65536,0,3,122
198545137,4713.4287,27.371605,3,12,3563,65536,0,3,122
199546140,4741.3604,27.374678,3,12,3797,65536,0,3,122
200547140,4769.7275,27.380219,3,12,3351,65536,0,3,122
201548136,4800.0,27.396568,3,12,904,65536,0,3,122
202549521,4825.286,27.384378,3,12,3847,65536,0,3,122
203550175,4853.4463,27.388655,3,12,3563,65536,0,3,122
204551276,4884.05,27.406527,3,12,827,65536,0,3,122
205552259,4909.212,27.393852,3,12,3897,65536,0,3,122
