timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
109676069,109676024,4259850,-0.708684,-7.24007,-9.25119,34.0,0,0,0,0
110676209,110676157,4259850,1.5706,-7.89129,-8.88728,34.0,0,0,0,0
111677978,111677928,4259850,2.50912,-2.27928,-12.4115,34.0,0,0,0,0
112675082,112675031,4259850,0.172383,6.43561,-12.0285,34.0,0,0,0,0
113676325,113676279,4259850,-0.0574608,0.459687,-9.71088,34.0,0,0,0,0
114677334,114677282,4259850,2.77727,-4.48195,-11.1474,34.0,0,0,0,0
115674516,115674465,4259850,-2.27928,1.14922,-9.21289,34.0,0,0,0,0
116676629,116676583,4259850,-1.64721,6.22492,-11.1091,34.0,0,0,0,0
117676946,117676894,4259850,5.20978,-6.28239,-8.48505,34.0,0,0,0,0
118677965,118677919,4259850,3.21781,-6.47392,-11.9327,34.0,0,0,0,0
119675740,119675691,4259850,0.383072,5.17148,-8.77236,34.0,0,0,0,0
120676294,120676237,4259850,-1.30245,-1.13006,-8.48505,34.0,0,0,0,0
121678253,121678207,4259850,2.24097,0.172383,-10.0173,34.0,0,0,0,0
122674438,122674392,4259850,3.08373,-7.08684,-8.92558,34.0,0,0,0,0
123676095,123676034,4259850,4.19464,1.14922,-7.81467,34.0,0,0,0,0
124676854,124676806,4259850,1.62806,0.804452,-10.3238,34.0,0,0,0,0
125677983,125677939,4259850,3.14119,1.14922,-10.1323,34.0,0,0,0,0
126675743,126675696,4259850,-0.325611,-2.26013,-13.5799,34.0,0,0,0,0
127676304,127676253,4259850,1.72383,1.43652,-8.71489,34.5,0,0,0,0
128677230,128677180,4259850,1.24498,0.497994,-6.01423,34.5,0,0,0,0
129675138,129675091,4259850,-1.16837,-4.71179,-10.228,34.0,0,0,0,0
130676008,130675962,4259850,4.46279,-0.536301,-9.95988,34.0,0,0,0,0
131676922,131676873,4259850,-1.45567,-2.43251,-6.62715,34.5,0,0,0,0
132674605,132674560,4259850,3.52426,1.3216,-7.75721,34.5,0,0,0,0
133675207,133675159,4259850,2.06859,-4.13718,-13.1202,34.0,0,0,0,0
134677237,134677182,4259850,1.09176,2.33674,-10.4579,34.0,0,0,0,0
135677297,135677233,4259850,-1.89621,-1.45567,-11.4922,34.5,0,0,0,0
136674355,136674306,4259850,0.172383,-3.88818,-13.4267,34.5,0,0,0,0
137675415,137675369,4259850,7.04853,1.5706,-8.96389,34.5,0,0,0,0
138676513,138676466,4259850,-1.91536,-6.70376,-9.86411,34.5,0,0,0,0
139677118,139677068,4259850,-3.00712,-4.7884,-12.9095,34.5,0,0,0,0
140674898,140674847,4259850,2.47082,-7.04853,-7.69975,34.0,0,0,0,0
141676323,141676272,4259850,7.48906,-5.91847,-9.19373,34.5,0,0,0,0
142677318,142677271,4259850,-2.58574,-7.37414,-11.3389,34.5,0,0,0,0
143674464,143674414,4259850,-1.68552,1.74298,-10.8793,34.0,0,0,0,0
144675597,144675548,4259850,6.359,-2.3942,-8.14029,34.0,0,0,0,0
145676248,145676201,4259850,-2.3942,-3.56257,-9.27035,34.0,0,0,0,0
146677931,146677885,4259850,1.74298,-9.76834,-7.25922,34.5,0,0,0,0
147676617,147676571,4259850,0.21069,4.71179,-9.61511,34.0,0,0,0,0
148675807,148675762,4259850,1.14922,-9.51935,-8.52336,34.5,0,0,0,0
149677914,149677863,4259850,0.0574608,5.36301,-13.1394,34.5,0,0,0,0
150674090,150674040,4259850,-0.766145,-2.08774,-9.44273,34.0,0,0,0,0
151675177,151675131,4259850,-0.114922,-4.44364,-8.31267,34.0,0,0,0,0
152676235,152676183,4259850,1.35991,0.612916,-10.7452,34.5,0,0,0,0
153677381,153677332,4259850,-3.56257,5.05655,-10.0173,34.5,0,0,0,0
154675027,154674981,4259850,3.16035,-3.29442,-8.82982,34.5,0,0,0,0
155676123,155676069,4259850,1.91536,4.07972,-10.094,34.5,0,0,0,0
156677217,156677171,4259850,-1.64721,-4.32872,-12.4307,34.5,0,0,0,0
157675213,157675161,4259850,2.50912,-4.82671,-7.71891,34.5,0,0,0,0
158675478,158675428,4259850,3.08373,1.62806,-9.07881,34.5,0,0,0,0
159677403,159677359,4259850,6.03339,-1.95367,-8.00621,34.5,0,0,0,0
160674541,160674495,4259850,2.85389,-0.536301,-9.07881,34.5,0,0,0,0
161675163,161675113,4259850,-1.55144,3.33273,-10.4004,34.5,0,0,0,0
162676955,162676908,4259850,-1.37906,5.17148,-10.1131,34.0,0,0,0,0
163676925,163676873,4259850,-2.12605,-5.93762,-10.5728,34.5,0,0,0,0
164674393,164674347,4259850,0.229843,-1.74298,-12.3732,34.5,0,0,0,0
165676037,165675984,4259850,-0.919373,3.63919,-7.81467,34.5,0,0,0,0
166676102,166676053,4259850,9.09797,-8.82982,-8.15944,34.5,0,0,0,0
167677141,167677087,4259850,0.593762,1.95367,-9.59596,34.5,0,0,0,0
168675870,168675823,4259850,-0.306458,-5.22894,-8.82982,34.5,0,0,0,0
169676446,169676394,4259850,1.8579,3.40934,-8.77236,34.5,0,0,0,0
170677044,170676991,4259850,2.06859,1.30245,-11.4539,34.5,0,0,0,0
171674178,171674130,4259850,0.612916,-0.651223,-8.7532,34.0,0,0,0,0
172675311,172675262,4259850,0.727837,-5.97593,-6.83784,34.0,0,0,0,0
173676931,173676877,4259850,4.27126,7.9679,-8.69574,34.0,0,0,0,0
174677056,174677011,4259850,-0.612916,4.00311,-9.51935,34.0,0,0,0,0
175675890,175675842,4259850,2.71981,1.0726,-12.8904,34.0,0,0,0,0
176676442,176676393,4259850,1.18752,-6.11,-11.0325,34.0,0,0,0,0
177678419,177678375,4259850,-0.114922,8.17859,-10.5919,34.5,0,0,0,0
178674099,178674054,4259850,7.10599,-4.34787,-7.48906,34.5,0,0,0,0
179675201,179675147,4259850,1.95367,4.04141,-9.23204,34.5,0,0,0,0
180676228,180676177,4259850,-2.06859,3.44765,-8.84897,34.5,0,0,0,0
181677637,181677589,4259850,5.05655,-4.76925,-8.94474,34.5,0,0,0,0
182675170,182675123,4259850,0.47884,4.06057,-9.7875,34.5,0,0,0,0
183675912,183675862,4259850,-1.37906,3.9648,-8.58082,34.0,0,0,0,0
184677068,184677021,4259850,-2.75812,-3.33273,-10.5345,34.5,0,0,0,0
185674683,185674639,4259850,-0.976834,-0.153229,-10.7643,34.5,0,0,0,0
186675861,186675812,4259850,1.87705,-1.70467,-9.42358,34.5,0,0,0,0
187676795,187676749,4259850,1.35991,-5.59285,-7.77637,34.5,0,0,0,0
188675453,188675408,4259850,1.87705,-8.27436,-13.4075,34.0,0,0,0,0
189674377,189674332,4259850,-0.153229,-2.20267,-10.8026,34.5,0,0,0,0
190675891,190675843,4259850,-0.191536,4.30956,-11.8561,34.0,0,0,0,0
191677034,191676980,4259850,0.21069,10.0556,-9.2895,34.5,0,0,0,0
192675252,192675205,4259850,0.842759,1.95367,-8.12113,34.0,0,0,0,0
193675880,193675830,4259850,3.75411,5.11401,-9.23204,34.5,0,0,0,0
194676999,194676953,4259850,6.24408,-2.27928,-8.17859,34.5,0,0,0,0
195677664,195677619,4259850,-0.651223,-1.37906,-12.5839,34.0,0,0,0,0
196674963,196674916,4259850,6.30154,-5.89931,-6.79953,34.0,0,0,0,0
197676508,197676459,4259850,-1.26414,0.708684,-12.3732,34.5,0,0,0,0
198677052,198677000,4259850,0.651223,-0.229843,-12.6222,34.0,0,0,0,0
199674632,199674581,4259850,-0.268151,0.574608,-11.1091,34.0,0,0,0,0
200675896,200675848,4259850,-2.35589,-8.98304,-12.5648,34.5,0,0,0,0
201676164,201676116,4259850,-0.0191536,-8.67659,-11.473,34.5,0,0,0,0
202678151,202678091,4259850,3.29442,-9.07881,-8.42759,34.5,0,0,0,0
203675728,203675681,4259850,-0.727837,6.41646,-13.6374,34.0,0,0,0,0
204675775,204675727,4259850,2.3942,1.83875,-7.94875,34.5,0,0,0,0
205677843,205677795,4259850,-0.306458,-2.77727,-10.1897,34.0,0,0,0,0
206674946,206674897,4259850,3.39019,-1.83875,-7.62314,34.0,0,0,0,0
207675645,207675597,4259850,0.90022,3.33273,-8.10198,34.5,0,0,0,0
208676177,208676131,4259850,2.20267,5.97593,-10.6494,34.5,0,0,0,0
209677698,209677651,4259850,0.459687,-4.38618,-9.44273,34.5,0,0,0,0
210676000,210675954,4259850,6.359,6.45477,-8.23605,34.5,0,0,0,0
211675872,211675825,4259850,1.26414,-4.57771,-6.83784,34.5,0,0,0,0
212677090,212677043,4259850,-2.18351,1.91536,-13.0628,34.5,0,0,0,0
213674558,213674513,4259850,2.6432,-1.3216,-10.0748,34.5,0,0,0,0
214675962,214675912,4259850,1.58975,-7.08684,-6.6463,34.5,0,0,0,0
215677244,215677187,4259850,5.3247,1.58975,-6.41646,34.5,0,0,0,0
216675113,216675064,4259850,0.402226,4.44364,-7.54652,34.5,0,0,0,0
217675180,217675128,4259850,1.78129,3.88818,-9.99819,34.5,0,0,0,0
218676916,218676862,4259850,-1.35991,-9.71088,-13.9247,34.5,0,0,0,0
219677124,219677075,4259850,0.134075,1.47483,-9.8258,34.5,0,0,0,0
220674230,220674178,4259850,4.80756,9.04051,-6.33985,34.5,0,0,0,0
221675342,221675291,4259850,-0.344765,-3.88818,-10.0365,34.5,0,0,0,0
222676695,222676648,4259850,1.62806,2.68151,-9.17458,34.5,0,0,0,0
223678834,223678783,4259850,1.47483,-0.191536,-8.59997,34.0,0,0,0,0
224675237,224675182,4259850,0.459687,1.8579,-12.5265,34.5,0,0,0,0
225675910,225675861,4259850,-2.41336,3.08373,-12.4307,34.5,0,0,0,0
226676555,226676507,4259850,5.47793,3.7158,-7.12514,34.5,0,0,0,0
227674932,227674880,4259850,-0.90022,3.88818,-10.343,34.0,0,0,0,0
228675981,228675934,4259850,-0.785298,0.632069,-8.54251,34.0,0,0,0,0
229676753,229676704,4259850,2.01113,7.66145,-8.35098,34.5,0,0,0,0
230678204,230678153,4259850,-1.81959,9.02135,-8.37013,34.5,0,0,0,0
231675366,231675316,4259850,-3.35188,1.16837,-12.7755,34.5,0,0,0,0
232675974,232675925,4259850,2.75812,-4.97994,-7.79552,34.5,0,0,0,0
233678154,233678105,4259850,3.25611,-0.766145,-8.58082,34.5,0,0,0,0
234674451,234674402,4259850,0.842759,2.71981,-7.58483,34.0,0,0,0,0
235676012,235675964,4259850,2.16436,-3.23696,-10.5919,34.0,0,0,0,0
236677289,236677242,4259850,-0.191536,-4.71179,-8.17859,34.5,0,0,0,0
237677612,237677567,4259850,2.18351,-1.41737,-12.6605,34.5,0,0,0,0
238675218,238675172,4259850,-1.91536,1.34075,-8.44674,34.5,0,0,0,0
239676376,239676327,4259850,1.20668,0.0191536,-13.4458,34.0,0,0,0,0
240676589,240676543,4259850,0.114922,5.91847,-8.56167,34.5,0,0,0,0
241674275,241674225,4259850,-1.13006,-0.287304,-9.15543,34.5,0,0,0,0
242675412,242675356,4259850,2.83473,2.8922,-7.62314,34.5,0,0,0,0
243676710,243676665,4259850,3.73495,5.59285,-8.40844,34.5,0,0,0,0
244675641,244675595,4259850,-0.517148,0.402226,-13.714,34.5,0,0,0,0
245675263,245675204,4259850,-3.79242,1.37906,-13.1585,34.0,0,0,0,0
246676977,246676932,4259850,5.20978,4.40533,-7.50822,34.0,0,0,0,0
247677209,247677157,4259850,-0.268151,-7.12514,-13.4458,34.5,0,0,0,0
248674284,248674238,4259850,2.75812,2.60489,-8.96389,34.5,0,0,0,0
249676023,249675975,4259850,-2.35589,-0.919373,-10.2089,34.5,0,0,0,0
250676658,250676611,4259850,6.74207,1.78129,-7.81467,34.5,0,0,0,0
251678778,251678732,4259850,1.55144,9.34696,-9.65342,34.5,0,0,0,0
252675346,252675291,4259850,0.172383,1.91536,-12.6797,34.5,0,0,0,0
253676469,253676419,4259850,1.35991,4.67348,-11.6071,34.5,0,0,0,0
254676645,254676599,4259850,0.574608,1.09176,-11.1857,34.5,0,0,0,0
255674312,255674262,4259850,1.55144,4.90333,-11.9135,34.5,0,0,0,0
256675442,256675394,4259850,2.33674,1.49398,-7.58483,34.5,0,0,0,0
257677134,257677087,4259850,-1.8579,0.68953,-10.1706,34.5,0,0,0,0
258677522,258677475,4259850,-2.83473,-4.52025,-13.8672,34.5,0,0,0,0
259675580,259675532,4259850,0.440533,3.63919,-12.8521,34.5,0,0,0,0
260675748,260675701,4259850,-0.191536,-11.0899,-10.0556,34.0,0,0,0,0
261677703,261677657,4259850,-0.0191536,2.70066,-9.07881,34.5,0,0,0,0
262674879,262674829,4259850,-0.459687,-7.79552,-11.2432,34.5,0,0,0,0
