timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
186177072,5.19331,3.28711,1,0,1,0,1,0,0
186677256,5.19492,3.28872,1,0,1,0,1,0,0
187177156,5.19492,3.29355,1,0,1,0,1,0,0
187677070,5.19653,3.29355,1,0,1,0,1,0,0
188177263,5.20137,3.28872,1,0,1,0,1,0,0
188677065,5.19653,3.2855,1,0,1,0,1,0,0
189177218,5.19492,3.29355,1,0,1,0,1,0,0
189677066,5.19976,3.29194,1,0,1,0,1,0,0
190177064,5.19653,3.28872,1,0,1,0,1,0,0
190677074,5.1917,3.29355,1,0,1,0,1,0,0
191177089,5.19492,3.29194,1,0,1,0,1,0,0
191677199,5.19653,3.28872,1,0,1,0,1,0,0
192177194,5.19653,3.28872,1,0,1,0,1,0,0
192677152,5.19814,3.29194,1,0,1,0,1,0,0
193177539,5.19492,3.29194,1,0,1,0,1,0,0
193677182,5.19653,3.28872,1,0,1,0,1,0,0
194177267,5.19492,3.29194,1,0,1,0,1,0,0
194677176,5.19492,3.29194,1,0,1,0,1,0,0
195177164,5.19653,3.28872,1,0,1,0,1,0,0
195677066,5.19492,3.28711,1,0,1,0,1,0,0
196177708,5.19492,3.29355,1,0,1,0,1,0,0
196677066,5.19814,3.29194,1,0,1,0,1,0,0
197177098,5.19814,3.28872,1,0,1,0,1,0,0
197678850,5.08052,3.28872,1,0,1,0,1,0,0
198177094,5.19331,3.29355,1,0,1,0,1,0,0
198677113,5.1917,3.29033,1,0,1,0,1,0,0
199177410,5.19331,3.28711,1,0,1,0,1,0,0
199677065,5.19331,3.29194,1,0,1,0,1,0,0
200177065,5.19653,3.29194,1,0,1,0,1,0,0
200677449,5.19653,3.29033,1,0,1,0,1,0,0
201177105,5.19814,3.28872,1,0,1,0,1,0,0
201677276,5.19814,3.29194,1,0,1,0,1,0,0
202178964,4.94839,3.29194,1,0,1,0,1,0,0
202677067,5.18525,3.28872,1,0,1,0,1,0,0
203177376,5.1917,3.29355,1,0,1,0,1,0,0
203677067,5.19492,3.29194,1,0,1,0,1,0,0
204177101,5.19653,3.28872,1,0,1,0,1,0,0
204677068,5.19976,3.29033,1,0,1,0,1,0,0
205177091,5.20137,3.29355,1,0,1,0,1,0,0
205677076,5.19976,3.28872,1,0,1,0,1,0,0
206177068,5.19653,3.28872,1,0,1,0,1,0,0
206677067,5.19653,3.29194,1,0,1,0,1,0,0
207177166,5.19492,3.29194,1,0,1,0,1,0,0
207677168,5.19492,3.28872,1,0,1,0,1,0,0
208177073,5.19331,3.28711,1,0,1,0,1,0,0
208677098,5.19492,3.29355,1,0,1,0,1,0,0
