timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
165724518,0.065906316,0.09129705,-1.5634184,1e-45,0.70752704,0.05548909,0.009181498,-0.7044446,0.0,0.0,-0.57164454,0,0,0,0,0
165823831,0.065839,0.025433924,-1.5634184,1e-45,0.7089737,0.03231113,-0.014165286,-0.70435184,0.0,0.0,-0.5698198,0,0,0,0,0
165923196,0.07244422,-0.071260765,-1.5634184,1e-45,0.7097036,0.00060568075,-0.05076179,-0.7026689,0.0,0.0,-0.5731153,0,0,0,0,0
166027420,0.06643442,-0.024052916,-1.5634184,1e-45,0.709549,0.015100876,-0.0319257,-0.7037704,0.0,0.0,-0.5839054,0,0,0,0,0
166126733,0.068365775,-0.07399365,-1.5634184,1e-45,0.70970106,-0.0018042253,-0.050296165,-0.702703,0.0,0.0,-0.5773352,0,0,0,0,0
166226062,0.06609537,-0.14062105,-1.5634184,1e-45,0.7092057,-0.0260734,-0.073051915,-0.70072174,0.0,0.0,-0.5826208,0,0,0,0,0
166325357,0.06853303,-0.08761366,-1.5634184,1e-45,0.7096703,-0.0065424233,-0.05517464,-0.70233965,0.0,0.0,-0.5767427,0,0,0,0,0
166424670,0.06580344,-0.005483048,-1.5634184,1e-45,0.7093872,0.021416057,-0.025119413,-0.70404565,0.0,0.0,-0.5704579,0,0,0,0,0
166523981,0.06128676,0.09559961,-1.5634184,1e-45,0.7075357,0.05536571,0.012335153,-0.70439744,0.0,0.0,-0.57490486,0,0,0,0,0
166623293,0.06483711,0.16749683,-1.5634184,1e-45,0.7049413,0.08182344,0.03658185,-0.7035798,0.0,0.0,-0.58133656,0,0,0,0,0
166722622,0.058730166,0.09189223,-1.5634184,1e-45,0.7077058,0.05315912,0.011920206,-0.7044036,0.0,0.0,-0.57438797,0,0,0,0,0
166821919,0.058152337,0.008295536,-1.5634184,1e-45,0.7093195,0.023553405,-0.017538445,-0.7042752,0.0,0.0,-0.5727563,0,0,0,0,0
166921230,0.060495265,-0.08882979,-1.5634184,1e-45,0.7096323,-0.009822788,-0.05278194,-0.70252377,0.0,0.0,-0.57786024,0,0,0,0,0
167020746,0.053902615,-0.17664722,-1.5634184,1e-45,0.7083619,-0.043069206,-0.0814907,-0.6998055,0.0,0.0,-0.58705145,0,0,0,0,0
167124820,0.058636412,-0.2704997,-1.5634184,1e-45,0.70571154,-0.07433713,-0.11611766,-0.69495463,0.0,0.0,-0.6100166,0,0,0,0,0
167224136,0.061983734,-0.3495841,-1.5634184,1e-45,0.7023571,-0.10079832,-0.1448592,-0.68960124,0.0,0.0,-0.60990995,0,0,0,0,0
167323451,0.0626394,-0.3965737,-1.5634184,1e-45,0.6998086,-0.116921306,-0.16136596,-0.6859726,0.0,0.0,-0.6173488,0,0,0,0,0
167422757,0.063960426,-0.33115152,-1.5634184,1e-45,0.703359,-0.09367294,-0.13913277,-0.690763,0.0,0.0,-0.59674114,0,0,0,0,0
167522074,0.06868632,-0.2503054,-1.5634184,1e-45,0.7067638,-0.06370911,-0.11253883,-0.69552934,0.0,0.0,-0.57894564,0,0,0,0,0
167626353,0.068760045,-0.16092454,-1.5634184,1e-45,0.7089426,-0.032274418,-0.081147,-0.69983846,0.0,0.0,-0.56412876,0,0,0,0,0
167725658,0.066761516,-0.075089484,-1.5634184,1e-45,0.7096978,-0.0027594976,-0.05012038,-0.70271575,0.0,0.0,-0.5671902,0,0,0,0,0
167825109,0.06326075,0.0071135038,-1.5634184,1e-45,0.7092717,0.024948973,-0.019756543,-0.7042164,0.0,0.0,-0.5623711,0,0,0,0,0
167924283,0.059817594,0.08576419,-1.5634184,1e-45,0.70783776,0.051391307,0.009362894,-0.7044409,0.0,0.0,-0.55891037,0,0,0,0,0
168023595,0.065849505,0.1520081,-1.5634184,1e-45,0.7055171,0.076759204,0.03073561,-0.7038529,0.0,0.0,-0.560275,0,0,0,0,0
168127873,0.061368316,0.067326814,-1.5634184,1e-45,0.708247,0.045461126,0.0022743645,-0.7044957,0.0,0.0,-0.54917604,0,0,0,0,0
168227197,0.0584213,0.021009909,-1.5634184,1e-45,0.7091524,0.02812439,-0.013122493,-0.70437187,0.0,0.0,-0.54971135,0,0,0,0,0
168326516,0.06378393,-0.06722319,-1.5634184,1e-45,0.7097038,-0.0010452095,-0.04628907,-0.702977,0.0,0.0,-0.5518713,0,0,0,0,0
168440707,0.056506287,-0.16794567,-1.5634184,1e-45,0.70859665,-0.03908699,-0.07933401,-0.70004934,0.0,0.0,-0.56489366,0,0,0,0,0
168540021,0.05464062,-0.1008924,-1.5634184,1e-45,0.7095135,-0.016148256,-0.054993764,-0.7023572,0.0,0.0,-0.58477753,0,0,0,0,0
168639504,0.050785165,-0.017685497,-1.5634184,1e-45,0.70961213,0.0117911715,-0.024159973,-0.70407945,0.0,0.0,-0.56612086,0,0,0,0,0
168728712,0.053626545,0.07252784,-1.5634184,1e-45,0.7083041,0.04454779,0.0068468982,-0.70446706,0.0,0.0,-0.5495467,0,0,0,0,0
168828024,0.049691215,-0.004799222,-1.5634184,1e-45,0.70953137,0.015941337,-0.01920422,-0.70423174,0.0,0.0,-0.52916795,0,0,0,0,0
168927336,0.055130802,-0.07098913,-1.5634184,1e-45,0.70968306,-0.005442283,-0.044580963,-0.7030881,0.0,0.0,-0.48091033,0,0,0,0,0
169026662,0.049190488,-0.1751603,-1.5634184,1e-45,0.70829195,-0.044215318,-0.07931739,-0.70005447,0.0,0.0,-0.4953464,0,0,0,0,0
169125960,0.050686587,-0.26772344,-1.5634184,1e-45,0.70551807,-0.07616954,-0.11238174,-0.6955665,0.0,0.0,-0.5630062,0,0,0,0,0
169225272,0.044289142,-0.23362999,-1.5634184,1e-45,0.706519,-0.06648039,-0.09818924,-0.6976891,0.0,0.0,-0.5946916,0,0,0,0,0
169324586,0.051004596,-0.16260354,-1.5634184,1e-45,0.70859504,-0.039157383,-0.075523354,-0.7004684,0.0,0.0,-0.5666017,0,0,0,0,0
169423962,0.049514294,-0.16460757,-1.5634184,1e-45,0.70852506,-0.040390152,-0.07570848,-0.70044917,0.0,0.0,-0.56551117,0,0,0,0,0
169523209,0.051897336,-0.07821342,-1.5634184,1e-45,0.7096437,-0.009134231,-0.04600267,-0.7029979,0.0,0.0,-0.557378,0,0,0,0,0
169622522,0.05708031,-0.006132651,-1.5634184,1e-45,0.7094797,0.01809308,-0.022278845,-0.70414126,0.0,0.0,-0.5574738,0,0,0,0,0
169721837,0.05333963,0.0807671,-1.5634184,1e-45,0.7081212,0.047342278,0.009871482,-0.70443285,0.0,0.0,-0.554595,0,0,0,0,0
169841010,0.06097654,0.07920466,-1.5634184,1e-45,0.7079742,0.049496856,0.0066271606,-0.70447046,0.0,0.0,-0.55141395,0,0,0,0,0
169940343,0.052080274,0.013238989,-1.5634184,1e-45,0.7093328,0.02314024,-0.013646334,-0.7043616,0.0,0.0,-0.54883415,0,0,0,0,0
170024736,0.051727682,-0.080462806,-1.5634184,1e-45,0.70963174,-0.0099867005,-0.046739534,-0.7029499,0.0,0.0,-0.5524161,0,0,0,0,0
