timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
68422778,68422665,4259850,4325386,-0.000763251,0.0014462,0.000970993,-0.00536146,0.0036525,-0.0537735,4989,4934,0
68927593,68927433,4259850,4325386,-0.000196958,0.00112773,0.000838817,0.00327797,0.0137417,-0.0490648,4984,4946,0
69421602,69421462,4259850,4325386,-0.00164734,3.73066e-07,-6.7917e-05,-0.00982635,0.0161125,-0.0633047,4976,4986,0
69925286,69924989,4259850,4325386,-0.000217745,-0.00228706,0.00122321,-0.0106527,-0.00496,-0.0548544,4989,4932,0
70424083,70423976,4259850,4325386,-0.00137107,0.0013293,0.00117231,-0.00722808,0.0283799,-0.0482795,5021,4723,0
70922859,70922696,4259850,4325386,-0.00144561,0.00106314,0.000769218,-0.0050519,-0.00842541,-0.0594594,4965,4933,0
71426436,71426316,4259850,4325386,-2.41578e-05,-0.000394265,0.000628111,-0.0133923,0.0236504,-0.0512431,4985,4971,0
71925228,71925109,4259850,4325386,0.00140882,0.000307533,2.9843e-05,-0.00693248,0.00852033,-0.0594816,4998,4877,0
72423596,72423423,4259850,4325386,0.00435516,-0.00101285,-9.77562e-05,0.00355328,-0.00970815,-0.0322297,4957,4938,0
72923279,72923154,4259850,4325386,-0.00150719,-0.000187707,0.000322496,-0.00350209,-0.00147751,-0.044459,4982,4961,0
73422080,73421933,4259850,4325386,-0.00132928,1.63673e-05,-0.000920476,-0.0101788,-0.00306852,-0.0482454,4986,4733,0
73925861,73925694,4259850,4325386,0.000881205,-0.000484032,-0.00105548,-0.00408458,-0.0311636,-0.0464661,4967,4964,0
74425476,74424634,4259850,4325386,0.00292924,0.00153496,-0.00069329,0.00251992,-0.0347321,-0.0486523,4987,5928,0
74923386,74923262,4259850,4325386,0.00253807,-0.000694441,-0.000189597,0.00188993,0.0205178,-0.05287,4991,4933,0
