timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
892416418,892416418,38,0,0,0,1488,1508,1582,1486,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
892906259,892906259,38,0,0,0,1488,1508,1582,1499,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
893417723,893417723,38,0,0,0,1490,1595,1534,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
893908522,893908522,38,0,0,0,1480,1583,1534,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
894422274,894422274,38,0,0,0,1488,1508,1524,1437,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
894911484,894911484,38,0,0,0,1487,1508,1567,1506,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
895424254,895424254,38,0,0,0,1487,1508,1575,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
895905577,895905577,38,0,0,0,1484,1574,1569,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
896413617,896413617,38,0,0,0,1402,1508,1568,1503,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
896904490,896904490,38,0,0,0,1387,1508,1557,1502,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
897414261,897414261,38,0,0,0,1487,1508,1559,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
897922248,897922248,38,0,0,0,1487,1558,1557,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
898413745,898413745,38,0,0,0,1490,1595,1555,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
898905290,898905290,38,0,0,0,1491,1577,1554,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
899414757,899414757,38,0,0,0,1488,1511,1552,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
899900891,899900891,38,0,0,0,1487,1508,1513,1502,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
900414541,900414541,38,0,0,0,1486,1508,1561,1501,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
900901216,900901216,38,0,0,0,1490,1547,1564,1502,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
901412481,901412481,38,0,0,0,1490,1563,1563,1502,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
901903973,901903973,38,0,0,0,1488,1538,1563,1498,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
902415482,902415482,38,0,0,0,1490,1554,1564,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
902904985,902904985,38,0,0,0,1489,1569,1564,1489,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
903416735,903416735,38,0,0,0,1488,1545,1570,1477,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
903902546,903902546,38,0,0,0,1408,1508,1562,1501,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
904414457,904414457,38,0,0,0,1481,1525,1563,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
904902977,904902977,38,0,0,0,1472,1522,1562,1498,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
905416860,905416860,38,0,0,0,1487,1507,1561,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
905908399,905908399,38,0,0,0,1487,1508,1526,1497,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
906421969,906421969,38,0,0,0,1488,1585,1527,1499,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
906913543,906913543,38,0,0,0,1486,1582,1540,1485,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
907410225,907410225,38,0,0,0,1479,1571,1567,1505,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
907914552,907914552,38,0,0,0,1472,1565,1575,1499,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
908403126,908403126,38,0,0,0,1478,1557,1586,1506,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
908914277,908914277,38,0,0,0,1483,1546,1588,1508,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
909405871,909405871,38,0,0,0,1487,1507,1595,1520,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
909919920,909919920,38,0,0,0,1458,1508,1590,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
910412019,910412019,38,0,0,0,1488,1508,1543,1501,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
910903433,910903433,38,0,0,0,1488,1508,1533,1491,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
911414729,911414729,38,0,0,0,1488,1508,1529,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
911920778,911920778,38,0,0,0,1487,1508,1574,1497,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
912412331,912412331,38,0,0,0,1487,1508,1573,1503,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
912924025,912924025,38,0,0,0,1491,1584,1567,1498,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
913412517,913412517,38,0,0,0,1498,1608,1570,1486,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
913902305,913902305,38,0,0,0,1489,1544,1515,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
914415232,914415232,38,0,0,0,1488,1565,1550,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
914901868,914901868,38,0,0,0,1488,1559,1548,1501,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
915411008,915411008,38,0,0,0,1488,1500,1562,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
915922319,915922319,38,0,0,0,1487,1508,1566,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
916414453,916414453,38,0,0,0,1488,1508,1573,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
916902780,916902780,38,0,0,0,1500,1540,1573,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
917413953,917413953,38,0,0,0,1488,1508,1572,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
917903988,917903988,38,0,0,0,1490,1508,1533,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
918415262,918415262,38,0,0,0,1490,1508,1535,1498,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
918921024,918921024,38,0,0,0,1489,1508,1534,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
919407607,919407607,38,0,0,0,1489,1508,1563,1500,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
919919577,919919577,38,0,0,0,1489,1534,1560,1486,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
920410441,920410441,38,0,0,0,1488,1578,1562,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
920921794,920921794,38,0,0,0,1488,1588,1562,1485,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
921410583,921410583,38,0,0,0,1488,1550,1560,1505,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
921902150,921902150,38,0,0,0,1475,1543,1561,1501,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
922416176,922416176,38,0,0,0,1487,1508,1553,1496,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
922907792,922907792,38,0,0,0,1488,1508,1550,1485,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
923419452,923419452,38,0,0,0,1489,1508,1550,1502,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
923910647,923910647,38,0,0,0,1488,1512,1549,1499,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
924402163,924402163,38,0,0,0,1488,1514,1550,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
924915857,924915857,38,0,0,0,1488,1515,1549,1488,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
925407423,925407423,38,0,0,0,1486,1520,1550,1498,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
925921887,925921887,38,0,0,0,1489,1533,1550,1492,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
926403658,926403658,38,0,0,0,1486,1537,1550,1497,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
926916740,926916740,38,0,0,0,1482,1557,1551,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
927408283,927408283,38,0,0,0,1489,1518,1550,1492,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
927899538,927899538,38,0,0,0,1489,1515,1550,1494,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
928414342,928414342,38,0,0,0,1488,1548,1552,1503,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
928920596,928920596,38,0,0,0,1488,1527,1558,1504,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
929412205,929412205,38,0,0,0,1487,1535,1558,1505,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
